action_count,sum_individual_gain,max_individual_gain,mean_individual_gain,sum_nominal_reduction,mean_nominal_reduction,duration_actions,lag_actions,fast_track_actions,cycle_actions,unique_clusters,mean_path_position,min_path_position,max_path_position,resource_supported_fraction,mean_risk_score,exact_recovery_days,scenario_key
1.0,18.0,18.0,18.0,125.0,125.0,0.0,0.0,0.0,1.0,1.0,0.06578947368421052,0.06578947368421052,0.06578947368421052,0.0,2.0,18.0,UML-0204
1.0,7.0,7.0,7.0,7.0,7.0,0.0,1.0,0.0,0.0,1.0,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.0,2.0,7.0,UML-0202
1.0,3.6,3.6,3.6,3.6,3.6,1.0,0.0,0.0,0.0,1.0,0.2894736842105263,0.2894736842105263,0.2894736842105263,1.0,3.0,3.6,UML-0039
1.0,3.6,3.6,3.6,3.6,3.6,1.0,0.0,0.0,0.0,1.0,0.5657894736842105,0.5657894736842105,0.5657894736842105,1.0,3.0,3.6,UML-0009
1.0,3.0,3.0,3.0,36.75,36.75,0.0,0.0,0.0,1.0,1.0,0.9749463135289907,0.9749463135289907,0.9749463135289907,0.0,2.0,3.0,UML-0205
1.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.18421052631578946,0.18421052631578946,0.18421052631578946,1.0,3.0,3.0,UML-0051
1.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.07894736842105263,0.07894736842105263,0.07894736842105263,1.0,3.0,3.0,UML-0021
1.0,3.0,3.0,3.0,3.6,3.6,1.0,0.0,0.0,0.0,1.0,0.039473684210526314,0.039473684210526314,0.039473684210526314,0.0,2.0,3.0,UML-0047
1.0,3.0,3.0,3.0,5.4,5.4,1.0,0.0,0.0,0.0,1.0,0.039473684210526314,0.039473684210526314,0.039473684210526314,0.0,3.0,3.0,UML-0048
1.0,3.0,3.0,3.0,3.6,3.6,1.0,0.0,0.0,0.0,1.0,0.14473684210526316,0.14473684210526316,0.14473684210526316,1.0,3.0,3.0,UML-0069
1.0,3.0,3.0,3.0,5.9,5.9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,UML-0136
1.0,3.0,3.0,3.0,11.8,11.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,UML-0137
1.0,3.0,3.0,3.0,17.7,17.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,UML-0138
1.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.47368421052631576,0.47368421052631576,0.47368421052631576,1.0,3.0,3.0,UML-0111
1.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.0,3.0,3.0,UML-0066
1.0,2.7,2.7,2.7,2.7,2.7,1.0,0.0,0.0,0.0,1.0,0.6578947368421053,0.6578947368421053,0.6578947368421053,1.0,3.0,2.7,UML-0084
1.0,2.7,2.7,2.7,2.7,2.7,1.0,0.0,0.0,0.0,1.0,0.75,0.75,0.75,1.0,3.0,2.7,UML-0054
1.0,2.7,2.7,2.7,2.7,2.7,1.0,0.0,0.0,0.0,1.0,0.8157894736842105,0.8157894736842105,0.8157894736842105,1.0,3.0,2.7,UML-0129
1.0,2.5,2.5,2.5,2.5,2.5,0.0,1.0,0.0,0.0,1.0,0.9605263157894737,0.9605263157894737,0.9605263157894737,0.0,2.0,2.5,UML-0176
1.0,2.4,2.4,2.4,2.4,2.4,1.0,0.0,0.0,0.0,1.0,0.2894736842105263,0.2894736842105263,0.2894736842105263,1.0,2.0,2.4,UML-0038
1.0,2.4,2.4,2.4,2.4,2.4,1.0,0.0,0.0,0.0,1.0,0.3815789473684211,0.3815789473684211,0.3815789473684211,1.0,3.0,2.4,UML-0027
1.0,2.4,2.4,2.4,2.4,2.4,1.0,0.0,0.0,0.0,1.0,0.14473684210526316,0.14473684210526316,0.14473684210526316,1.0,2.0,2.4,UML-0068
1.0,2.4,2.4,2.4,2.4,2.4,1.0,0.0,0.0,0.0,1.0,0.5657894736842105,0.5657894736842105,0.5657894736842105,1.0,2.0,2.4,UML-0008
1.0,2.1,2.1,2.1,2.1,2.1,1.0,0.0,0.0,0.0,1.0,0.4342105263157895,0.4342105263157895,0.4342105263157895,1.0,3.0,2.1,UML-0135
1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.18421052631578946,0.18421052631578946,0.18421052631578946,1.0,2.0,2.0,UML-0050
1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.07894736842105263,0.07894736842105263,0.07894736842105263,1.0,2.0,2.0,UML-0020
1.0,2.0,2.0,2.0,2.4,2.4,1.0,0.0,0.0,0.0,1.0,0.881578947368421,0.881578947368421,0.881578947368421,1.0,3.0,2.0,UML-0081
1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.47368421052631576,0.47368421052631576,0.47368421052631576,1.0,2.0,2.0,UML-0110
