source_table,source_path,row_order,project_id,wbs_id,activity_id,activity_name,planned_start,planned_finish,actual_start,actual_finish,forecast_start,forecast_finish,planned_weight,planned_progress,actual_progress,total_float_days,is_critical,responsible_party,Activity ID,Activity Name,WBS,Baseline Start,Baseline Finish,Start,Finish,Actual Start,Actual Finish,Remaining Duration,Total Float,Free Float,Critical,Longest Path,Predecessors,Successors,Remaining Units,Budgeted Units,Physical % Complete,schedule_version,wbs_code,activity_type,calendar_name,baseline_start,baseline_finish,remaining_duration_days,free_float_days,is_longest_path,physical_percent_complete,source_id,notes,master_project_id,master_activity_id,master_activity_row_order,master_evm_row_order,master_progress_row_order,activity__project_id,activity__wbs_id,activity__activity_id,activity__activity_name,activity__planned_start,activity__planned_finish,activity__actual_start,activity__actual_finish,activity__forecast_start,activity__forecast_finish,activity__planned_weight,activity__planned_progress,activity__actual_progress,activity__total_float_days,activity__is_critical,activity__responsible_party,evm__project_id,evm__activity_id,evm__activity_name,evm__period,evm__BAC,evm__AC,evm__EV,evm__PV,evm__CPI,evm__SPI,evm__CV,evm__SV,progress__project_id,progress__activity_id,progress__update_date,progress__planned_progress,progress__actual_progress,progress__planned_value,progress__earned_value,progress__actual_cost,progress__notes
activities,01-data/import_templates/activities.csv,1,LMD-Bridge,LMD-Bridge.MILESTONE,KD-MS-1000,Project Start Date,5-Nov-25,,5-Nov-25 A,5-Nov-25 A,5-Nov-25,,0.0120,1.00,1.00,5,No,Project Controls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,2,LMD-Bridge,LMD-Bridge.MILESTONE,KD-MS-1010,Contract Agreement,5-Nov-25,,5-Nov-25 A,5-Nov-25 A,5-Nov-25,,0.0120,1.00,1.00,6,No,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,3,LMD-Bridge,LMD-Bridge.MILESTONE,KD-MS-1020,IFC Drawing Package,12-Nov-25,,12-Nov-25 A,12-Nov-25 A,12-Nov-25,,0.0120,1.00,1.00,,Yes,Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,4,LMD-Bridge,LMD-Bridge.MOBILIZATION,KD-MOB-1000,Mobilization and traffic diversion setup,9-Nov-25,9-Dec-25,30-Nov-25 A,3-Jan-26 A,30-Nov-25,19-Dec-25,0.0241,1.00,1.00,8,No,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,5,LMD-Bridge,LMD-Bridge.SURVEY,SUR-LB-1010,Survey control and utility relocation setting out,27-Nov-25,19-Dec-25,21-Dec-25 A,16-Jan-26 A,21-Dec-25,29-Dec-25,0.0241,1.00,1.00,9,No,Survey Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,6,LMD-Bridge,LMD-Bridge.ENGINEERING,E-SUB-LB-1020,Bridge substructure shop drawings,20-Dec-25,24-Jan-26,16-Jan-26 A,,16-Jan-26,20-Feb-26,0.0361,0.92,0.75,-31,Yes,Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,7,LMD-Bridge,LMD-Bridge.ENGINEERING,E-APP-LB-1020,Approval of pier and deck shop drawings,26-Jan-26,27-Feb-26,16-Feb-26 A,,16-Feb-26,26-Mar-26,0.0361,0.70,0.57,-33,Yes,Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,8,LMD-Bridge,LMD-Bridge.PROCUREMENT,P-MDEL-LB-1000,"Steel, bearings and expansion joints delivery",14-Jan-26,25-Mar-26,7-Feb-26 A,,7-Feb-26,21-Apr-26,0.0602,0.55,0.45,-35,Yes,Procurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,9,LMD-Bridge,LMD-Bridge.CONSTRUCTION,CON-LB-PIL-1010,Bored piles and pile caps,10-Jan-26,15-Apr-26,6-Feb-26 A,,6-Feb-26,12-May-26,0.1205,0.85,0.70,-37,Yes,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,10,LMD-Bridge,LMD-Bridge.CONSTRUCTION,CON-LB-RFT-1020,RFT for piers and abutments,17-Mar-26,24-Apr-26,7-Apr-26 A,,7-Apr-26,21-May-26,0.1205,0.58,0.48,-39,Yes,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,11,LMD-Bridge,LMD-Bridge.CONSTRUCTION,CON-LB-CON-1030,Concrete works for piers and abutments,24-Apr-26,29-May-26,18-May-26 A,,18-May-26,25-Jun-26,0.1205,0.36,0.30,-41,Yes,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,12,LMD-Bridge,LMD-Bridge.CONSTRUCTION,CON-LB-DECK-1040,Deck formwork reinforcement and casting,13-Jun-26,1-Sep-26,10-Jul-26 A,,10-Jul-26,28-Sep-26,0.1205,0.08,0.07,-43,Yes,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,13,LMD-Bridge,LMD-Bridge.CONSTRUCTION,CON-LB-ROAD-1050,Approach road embankment and pavement,27-Aug-26,30-Nov-26,17-Sep-26 A,,17-Sep-26,27-Dec-26,0.1205,0.02,0.02,17,No,Roadworks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,14,LMD-Bridge,LMD-Bridge.MEP,MEP-LB-LGT-1060,Street lighting and drainage works,31-Oct-26,25-Dec-26,,,21-Nov-26,4-Jan-27,0.0723,0.00,0.00,18,No,MEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,15,LMD-Bridge,LMD-Bridge.FINISHING,FIN-LB-1070,"Barriers, asphalt and road marking",20-Dec-26,18-Feb-27,,,10-Jan-27,28-Feb-27,0.0723,0.00,0.00,19,No,Finishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,16,LMD-Bridge,LMD-Bridge.TESTING,TST-LB-1080,Load testing and handover inspections,20-Mar-27,24-Apr-27,,,10-Apr-27,4-May-27,0.0241,0.00,0.00,-51,Yes,QA/QC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
