source_table,source_path,row_order,project_id,wbs_code,wbs_name,total_activities,bl_project_duration,remaining_duration,total_float,bl_project_start,bl_project_finish,actual_start,actual_finish,schedule_%_complete,performance_%_complete,budget_at_completion,earned_value_cost,planned_value_cost,xer_pair_id,event_variant,baseline_source_id,impacted_source_id,data_date,baseline_schedule_name,impacted_update_name,baseline_project_finish,impacted_project_finish,parity_status,p6_operator,run_reference,notes,Activity ID,Activity Name,Predecessors,Predecessor Details,Successors,schedule_version,successor_activity_id,predecessor_activity_id,relationship_type,lag_days,source_id
wbs,01-data/import_templates/wbs.csv,1,LMD-Bridge-P.01-UP-20-April-26,No Priority,,912,485,338,0,1-Oct-25,28-Jan-27,2-Oct-25,,0.588,0.329,318250000,104704250,187131000,,,,,,,,,,,,,,,,,,,,,,,,
wbs,01-data/import_templates/wbs.csv,2,LMD-Bridge-P.01-UP-20-April-26,LMD-Bridge - P.01 - UP-20-April-26,LMD BRIDGE AND ROAD INTERCHANGE PROJECT,912,485,338,-61,1-Oct-25,28-Jan-27,2-Oct-25,,0.588,0.329,318250000,104704250,187131000,,,,,,,,,,,,,,,,,,,,,,,,
wbs,01-data/import_templates/wbs.csv,3,LMD-Bridge-P.01-UP-20-April-26,LMD-Bridge - P.01 - UP-20-April-26.KD,Key Dates,7,485,338,-61,1-Oct-25,28-Jan-27,2-Oct-25,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
wbs,01-data/import_templates/wbs.csv,4,LMD-Bridge-P.01-UP-20-April-26,LMD-Bridge - P.01 - UP-20-April-26.KD.MI,Milestone,5,485,338,-61,1-Oct-25,28-Jan-27,2-Oct-25,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
wbs,01-data/import_templates/wbs.csv,5,LMD-Bridge-P.01-UP-20-April-26,LMD-Bridge - P.01 - UP-20-April-26.KD.MO,Mobilization,9,14,0,,1-Oct-25,15-Oct-25,3-Oct-25,18-Oct-25,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
wbs,01-data/import_templates/wbs.csv,6,LMD-Bridge-P.01-UP-20-April-26,LMD-Bridge - P.01 - UP-20-April-26.EN,Engineering,202,214,28,96,1-Oct-25,3-May-26,2-Oct-25,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
wbs,01-data/import_templates/wbs.csv,7,LMD-Bridge-P.01-UP-20-April-26,LMD-Bridge - P.01 - UP-20-April-26.P,Procurement,73,395,185,64,1-Oct-25,31-Oct-26,2-Oct-25,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
wbs,01-data/import_templates/wbs.csv,8,LMD-Bridge-P.01-UP-20-April-26,LMD-Bridge - P.01 - UP-20-April-26.CON,Construction,489,435,318,-44,5-Nov-25,19-Nov-26,2-Oct-25,,0.588,0.329,318250000,104704250,187131000,,,,,,,,,,,,,,,,,,,,,,,,
wbs,01-data/import_templates/wbs.csv,9,LMD-Bridge-P.01-UP-20-April-26,LMD-Bridge - P.01 - UP-20-April-26.CON.EW,Earth Works,38,78,5,-8,31-Oct-25,17-Jan-26,29-Oct-25,31-Dec-25,0.93,0.87,18750000,16312500,17437500,,,,,,,,,,,,,,,,,,,,,,,,
wbs,01-data/import_templates/wbs.csv,10,LMD-Bridge-P.01-UP-20-April-26,LMD-Bridge - P.01 - UP-20-April-26.CON.FD,Foundations & Piles,96,245,128,-62,15-Nov-25,18-Jul-26,2-Oct-25,,0.71,0.46,72500000,33350000,51475000,,,,,,,,,,,,,,,,,,,,,,,,
wbs,01-data/import_templates/wbs.csv,11,LMD-Bridge-P.01-UP-20-April-26,LMD-Bridge - P.01 - UP-20-April-26.CON.PC,Piers & Caps,88,286,202,-57,5-Jan-26,18-Oct-26,2-Oct-25,,0.58,0.34,61800000,21012000,35844000,,,,,,,,,,,,,,,,,,,,,,,,
wbs,01-data/import_templates/wbs.csv,12,LMD-Bridge-P.01-UP-20-April-26,LMD-Bridge - P.01 - UP-20-April-26.CON.SG,Superstructure Girders,103,330,276,-66,14-Feb-26,10-Jan-27,2-Oct-25,,0.45,0.25,88200000,22050000,39690000,,,,,,,,,,,,,,,,,,,,,,,,
wbs,01-data/import_templates/wbs.csv,13,LMD-Bridge-P.01-UP-20-April-26,LMD-Bridge - P.01 - UP-20-April-26.CON.DK,Deck Slab & Barriers,72,295,246,-40,24-Mar-26,13-Jan-27,2-Oct-25,,0.41,0.21,49700000,10437000,20377000,,,,,,,,,,,,,,,,,,,,,,,,
wbs,01-data/import_templates/wbs.csv,14,LMD-Bridge-P.01-UP-20-April-26,LMD-Bridge - P.01 - UP-20-April-26.CON.RD,Roadworks & Diversions,53,248,196,20,18-Jun-26,21-Feb-27,2-Oct-25,,0.36,0.17,31900000,5423000,11484000,,,,,,,,,,,,,,,,,,,,,,,,
wbs,01-data/import_templates/wbs.csv,15,LMD-Bridge-P.01-UP-20-April-26,LMD-Bridge - P.01 - UP-20-April-26.CON.UT,Utilities & Lighting,39,270,224,12,3-May-26,28-Jan-27,2-Oct-25,,0.25,0.11,20650000,2271500,5162500,,,,,,,,,,,,,,,,,,,,,,,,
wbs,01-data/import_templates/wbs.csv,16,LMD-Bridge-P.01-UP-20-April-26,LMD-Bridge - P.01 - UP-20-April-26.HO,"Testing, Commissioning & Handover",93,456,338,-61,10-Dec-25,28-Jan-27,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,1,LMD-Bridge-P.03-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-LB-AA-FORM-1040,Formwork readiness before Abutment A pile cap RFT (Abutment-A),E-APP-LB-AA-1020,E-APP-LB-AA-1020: FS 0,CON-LB-AA-RFT-1050,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,2,LMD-Bridge-P.03-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-LB-AA-RFT-1050,RFT for Abutment A pile cap RFT (Abutment-A),CON-LB-AA-FORM-1040,CON-LB-AA-FORM-1040: FS 0,CON-LB-AA-CONC-1070,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,3,LMD-Bridge-P.03-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-LB-AA-CONC-1070,Concrete casting after Abutment A pile cap RFT (Abutment-A),CON-LB-AA-RFT-1050,CON-LB-AA-RFT-1050: FS 0,LB-MS-1040,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,4,LMD-Bridge-P.03-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-LB-P1-FORM-1050,Formwork readiness before Pier P1 starter bars RFT (Pier-P1),E-APP-LB-P1-1030,E-APP-LB-P1-1030: FS 0,CON-LB-P1-RFT-1060,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,5,LMD-Bridge-P.03-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-LB-P1-RFT-1060,RFT for Pier P1 starter bars RFT (Pier-P1),CON-LB-P1-FORM-1050,CON-LB-P1-FORM-1050: FS 0,CON-LB-P1-CONC-1080,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,6,LMD-Bridge-P.03-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-LB-P1-CONC-1080,Concrete casting after Pier P1 starter bars RFT (Pier-P1),CON-LB-P1-RFT-1060,CON-LB-P1-RFT-1060: FS 0,LB-MS-1040,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,7,LMD-Bridge-P.03-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-LB-P2-FORM-1060,Formwork readiness before Pier P2 shaft RFT (Pier-P2),E-APP-LB-P2-1040,E-APP-LB-P2-1040: FS 0,CON-LB-P2-RFT-1070,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,8,LMD-Bridge-P.03-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-LB-P2-RFT-1070,RFT for Pier P2 shaft RFT (Pier-P2),CON-LB-P2-FORM-1060,CON-LB-P2-FORM-1060: FS 0,CON-LB-P2-CONC-1090,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,9,LMD-Bridge-P.03-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-LB-P2-CONC-1090,Concrete casting after Pier P2 shaft RFT (Pier-P2),CON-LB-P2-RFT-1070,CON-LB-P2-RFT-1070: FS 0,LB-MS-1040,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,10,LMD-Bridge-P.03-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-LB-DS-FORM-1070,Formwork readiness before Deck span diaphragm RFT (Deck-Span),E-APP-LB-DS-1050,E-APP-LB-DS-1050: FS 0,CON-LB-DS-RFT-1080,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,11,LMD-Bridge-P.03-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-LB-DS-RFT-1080,RFT for Deck span diaphragm RFT (Deck-Span),CON-LB-DS-FORM-1070,CON-LB-DS-FORM-1070: FS 0,CON-LB-DS-CONC-1100,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,12,LMD-Bridge-P.03-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-LB-DS-CONC-1100,Concrete casting after Deck span diaphragm RFT (Deck-Span),CON-LB-DS-RFT-1080,CON-LB-DS-RFT-1080: FS 0,LB-MS-1040,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,13,LMD-Bridge-P.03-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-LB-AB-FORM-1080,Formwork readiness before Abutment B wing wall RFT (Abutment-B),E-APP-LB-AB-1060,E-APP-LB-AB-1060: FS 0,CON-LB-AB-RFT-1090,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,14,LMD-Bridge-P.03-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-LB-AB-RFT-1090,RFT for Abutment B wing wall RFT (Abutment-B),CON-LB-AB-FORM-1080,CON-LB-AB-FORM-1080: FS 0,CON-LB-AB-CONC-1110,,,,,,
05-relationship_file,02-delay_analysis/unified_tia_csv/05-relationship_file.csv,15,LMD-Bridge-P.03-UP-26-Jun-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-LB-AB-CONC-1110,Concrete casting after Abutment B wing wall RFT (Abutment-B),CON-LB-AB-RFT-1090,CON-LB-AB-RFT-1090: FS 0,LB-MS-1040,,,,,,
