source_table,source_path,row_order,project_id,activity_id,activity_name,period,BAC,AC,EV,PV,CPI,SPI,CV,SV,update_date,planned_progress,actual_progress,planned_value,earned_value,actual_cost,notes
evm,01-data/import_templates/evm.csv,1,LMD-Bridge,KD-MS-1000,Project Start Date,May-26,10240963.86,10855421.69,10240963.86,10240963.86,0.94,1.00,-614457.83,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,2,LMD-Bridge,KD-MS-1010,Contract Agreement,May-26,10240963.86,10855421.69,10240963.86,10240963.86,0.94,1.00,-614457.83,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,3,LMD-Bridge,KD-MS-1020,IFC Drawing Package,May-26,10240963.86,10855421.69,10240963.86,10240963.86,0.94,1.00,-614457.83,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,4,LMD-Bridge,KD-MOB-1000,Mobilization and traffic diversion setup,May-26,20481927.71,21710843.37,20481927.71,20481927.71,0.94,1.00,-1228915.66,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,5,LMD-Bridge,SUR-LB-1010,Survey control and utility relocation setting out,May-26,20481927.71,21710843.37,20481927.71,20481927.71,0.94,1.00,-1228915.66,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,6,LMD-Bridge,E-SUB-LB-1020,Bridge substructure shop drawings,May-26,30722891.57,24567990.36,23177349.40,28265060.24,0.94,0.82,-1390640.96,-5087710.84,,,,,,,
evm,01-data/import_templates/evm.csv,7,LMD-Bridge,E-APP-LB-1020,Approval of pier and deck shop drawings,May-26,30722891.57,18693036.14,17634939.76,21506024.10,0.94,0.82,-1058096.39,-3871084.34,,,,,,,
evm,01-data/import_templates/evm.csv,8,LMD-Bridge,P-MDEL-LB-1000,"Steel, bearings and expansion joints delivery",May-26,51204819.28,24478975.90,23093373.49,28162650.60,0.94,0.82,-1385602.41,-5069277.11,,,,,,,
evm,01-data/import_templates/evm.csv,9,LMD-Bridge,CON-LB-PIL-1010,Bored piles and pile caps,May-26,102409638.55,75662289.16,71379518.07,87048192.77,0.94,0.82,-4282771.08,-15668674.70,,,,,,,
evm,01-data/import_templates/evm.csv,10,LMD-Bridge,CON-LB-RFT-1020,RFT for piers and abutments,May-26,102409638.55,51628385.54,48706024.10,59397590.36,0.94,0.82,-2922361.45,-10691566.27,,,,,,,
evm,01-data/import_templates/evm.csv,11,LMD-Bridge,CON-LB-CON-1030,Concrete works for piers and abutments,May-26,102409638.55,32045204.82,30231325.30,36867469.88,0.94,0.82,-1813879.52,-6636144.58,,,,,,,
evm,01-data/import_templates/evm.csv,12,LMD-Bridge,CON-LB-DECK-1040,Deck formwork reinforcement and casting,May-26,102409638.55,7121156.63,6718072.29,8192771.08,0.94,0.82,-403084.34,-1474698.80,,,,,,,
evm,01-data/import_templates/evm.csv,13,LMD-Bridge,CON-LB-ROAD-1050,Approach road embankment and pavement,May-26,102409638.55,1780289.16,1679518.07,2048192.77,0.94,0.82,-100771.08,-368674.70,,,,,,,
evm,01-data/import_templates/evm.csv,14,LMD-Bridge,MEP-LB-LGT-1060,Street lighting and drainage works,May-26,61445783.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,15,LMD-Bridge,FIN-LB-1070,"Barriers, asphalt and road marking",May-26,61445783.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,
