source_table,source_path,row_order,project_id,wbs_id,activity_id,activity_name,planned_start,planned_finish,actual_start,actual_finish,forecast_start,forecast_finish,planned_weight,planned_progress,actual_progress,total_float_days,is_critical,responsible_party,Activity ID,Activity Name,WBS,Baseline Start,Baseline Finish,Start,Finish,Actual Start,Actual Finish,Remaining Duration,Total Float,Free Float,Critical,Longest Path,Predecessors,Successors,Remaining Units,Budgeted Units,Physical % Complete,schedule_version,wbs_code,activity_type,calendar_name,baseline_start,baseline_finish,remaining_duration_days,free_float_days,is_longest_path,physical_percent_complete,source_id,notes,master_project_id,master_activity_id,master_activity_row_order,master_evm_row_order,master_progress_row_order,activity__project_id,activity__wbs_id,activity__activity_id,activity__activity_name,activity__planned_start,activity__planned_finish,activity__actual_start,activity__actual_finish,activity__forecast_start,activity__forecast_finish,activity__planned_weight,activity__planned_progress,activity__actual_progress,activity__total_float_days,activity__is_critical,activity__responsible_party,evm__project_id,evm__activity_id,evm__activity_name,evm__period,evm__BAC,evm__AC,evm__EV,evm__PV,evm__CPI,evm__SPI,evm__CV,evm__SV,progress__project_id,progress__activity_id,progress__update_date,progress__planned_progress,progress__actual_progress,progress__planned_value,progress__earned_value,progress__actual_cost,progress__notes
activities,01-data/import_templates/activities.csv,1,Sophia-Mall,Sophia-Mall.MILESTONE,KD-MS-1000,Project Start Date,15-Oct-25,,15-Oct-25 A,15-Oct-25 A,15-Oct-25,,0.0120,1.00,1.00,5,No,Project Controls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,2,Sophia-Mall,Sophia-Mall.MILESTONE,KD-MS-1010,Contract Agreement,15-Oct-25,,15-Oct-25 A,15-Oct-25 A,15-Oct-25,,0.0120,1.00,1.00,6,No,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,3,Sophia-Mall,Sophia-Mall.MILESTONE,KD-MS-1020,IFC Drawing Package,25-Oct-25,,25-Oct-25 A,25-Oct-25 A,25-Oct-25,,0.0120,1.00,1.00,,Yes,Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,4,Sophia-Mall,Sophia-Mall.MOBILIZATION,KD-MOB-1000,Mobilization and site logistics setup,17-Oct-25,18-Nov-25,22-Oct-25 A,24-Nov-25 A,22-Oct-25,20-Nov-25,0.0241,1.00,1.00,8,No,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,5,Sophia-Mall,Sophia-Mall.SURVEY,SUR-SM-1010,Surveying and benchmark establishment,5-Nov-25,23-Nov-25,13-Nov-25 A,2-Dec-25 A,13-Nov-25,25-Nov-25,0.0241,1.00,1.00,9,No,Survey Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,6,Sophia-Mall,Sophia-Mall.ENGINEERING,E-SUB-SM-1020,Structural and architectural shop drawings,22-Nov-25,6-Jan-26,3-Dec-25 A,,3-Dec-25,8-Jan-26,0.0361,0.90,0.95,-15,Yes,Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,7,Sophia-Mall,Sophia-Mall.ENGINEERING,E-APP-SM-1020,Approval of podium and basement drawings,5-Jan-26,10-Feb-26,10-Jan-26 A,,10-Jan-26,12-Feb-26,0.0361,0.78,0.83,-17,Yes,Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,8,Sophia-Mall,Sophia-Mall.PROCUREMENT,P-MDEL-SM-1000,Long lead procurement for steel and MEP sleeves,24-Dec-25,2-Mar-26,1-Jan-26 A,,1-Jan-26,4-Mar-26,0.0602,0.67,0.71,-19,Yes,Procurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,9,Sophia-Mall,Sophia-Mall.CONSTRUCTION,CON-SM-EXC-1010,Bulk excavation and dewatering,9-Dec-25,19-Mar-26,20-Dec-25 A,1-Apr-26 A,20-Dec-25,21-Mar-26,0.1205,0.95,1.00,,Yes,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,10,Sophia-Mall,Sophia-Mall.CONSTRUCTION,CON-SM-RFT-1020,RFT for raft foundation,22-Feb-26,30-Mar-26,27-Feb-26 A,,27-Feb-26,1-Apr-26,0.1205,0.82,0.87,-23,Yes,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
