source_table,source_path,row_order,project_id,activity_id,activity_name,period,BAC,AC,EV,PV,CPI,SPI,CV,SV,update_date,planned_progress,actual_progress,planned_value,earned_value,actual_cost,notes
evm,01-data/import_templates/evm.csv,1,Sophia-Mall,KD-MS-1000,Project Start Date,May-26,25301204.82,25048192.77,25301204.82,25301204.82,1.01,1.00,253012.05,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,2,Sophia-Mall,KD-MS-1010,Contract Agreement,May-26,25301204.82,25048192.77,25301204.82,25301204.82,1.01,1.00,253012.05,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,3,Sophia-Mall,KD-MS-1020,IFC Drawing Package,May-26,25301204.82,25048192.77,25301204.82,25301204.82,1.01,1.00,253012.05,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,4,Sophia-Mall,KD-MOB-1000,Mobilization and site logistics setup,May-26,50602409.64,50096385.54,50602409.64,50602409.64,1.01,1.00,506024.10,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,5,Sophia-Mall,SUR-SM-1010,Surveying and benchmark establishment,May-26,50602409.64,50096385.54,50602409.64,50602409.64,1.01,1.00,506024.10,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,6,Sophia-Mall,E-SUB-SM-1020,Structural and architectural shop drawings,May-26,75903614.46,71687927.71,72412048.19,68313253.01,1.01,1.06,724120.48,4098795.18,,,,,,,
evm,01-data/import_templates/evm.csv,7,Sophia-Mall,E-APP-SM-1020,Approval of podium and basement drawings,May-26,75903614.46,62129537.35,62757108.43,59204819.28,1.01,1.06,627571.08,3552289.16,,,,,,,
evm,01-data/import_templates/evm.csv,8,Sophia-Mall,P-MDEL-SM-1000,Long lead procurement for steel and MEP sleeves,May-26,126506024.10,88946132.53,89844578.31,84759036.14,1.01,1.06,898445.78,5085542.17,,,,,,,
evm,01-data/import_templates/evm.csv,9,Sophia-Mall,CON-SM-EXC-1010,Bulk excavation and dewatering,May-26,253012048.19,250481927.71,253012048.19,240361445.78,1.01,1.05,2530120.48,12650602.41,,,,,,,
evm,01-data/import_templates/evm.csv,10,Sophia-Mall,CON-SM-RFT-1020,RFT for raft foundation,May-26,253012048.19,217718891.57,219918072.29,207469879.52,1.01,1.06,2199180.72,12448192.77,,,,,,,
evm,01-data/import_templates/evm.csv,11,Sophia-Mall,CON-SM-CON-1030,Raft foundation concrete works,May-26,253012048.19,164616722.89,166279518.07,156867469.88,1.01,1.06,1662795.18,9412048.19,,,,,,,
evm,01-data/import_templates/evm.csv,12,Sophia-Mall,CON-SM-B1-1040,Basement B1 columns and walls,May-26,253012048.19,92928795.18,93867469.88,88554216.87,1.01,1.06,938674.70,5313253.01,,,,,,,
evm,01-data/import_templates/evm.csv,13,Sophia-Mall,CON-SM-GF-1050,Ground floor slab and beams,May-26,253012048.19,26551084.34,26819277.11,25301204.82,1.01,1.06,268192.77,1518072.29,,,,,,,
