source_table,source_path,row_order,project_id,activity_id,activity_name,period,BAC,AC,EV,PV,CPI,SPI,CV,SV,update_date,planned_progress,actual_progress,planned_value,earned_value,actual_cost,notes
evm,01-data/import_templates/activity_master.csv,1,The Big -P.01-UP-20-April-26,KD-MS-1000,Project Start Date,May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,
evm,01-data/import_templates/activity_master.csv,2,The Big -P.01-UP-20-April-26,KD-MS-1010,Contract Agreement,May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,
evm,01-data/import_templates/activity_master.csv,3,The Big -P.01-UP-20-April-26,KD-MS-1020,IFC Drawing Package,May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,
evm,01-data/import_templates/activity_master.csv,8,The Big -P.01-UP-20-April-26,KD-MOB-1000,Surveying Works,17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,
evm,01-data/import_templates/activity_master.csv,9,The Big -P.01-UP-20-April-26,KD-MOB-1010,Equipment Mobilization,17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,
evm,01-data/import_templates/activity_master.csv,10,The Big -P.01-UP-20-April-26,KD-MOB-1020,Site Preparation,17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,
evm,01-data/import_templates/activity_master.csv,4,The Big -P.01-UP-20-April-26,P-MS-1000,Submittal for RFT Rebar,May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,
evm,01-data/import_templates/activity_master.csv,5,The Big -P.01-UP-20-April-26,E-DR-1000,Design Review,May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,
evm,01-data/import_templates/activity_master.csv,6,The Big -P.01-UP-20-April-26,E-SUB-B01-REP-1000,Submittal for General Replacement Plan & Typical Sections for Replacement / Backfilling DWGs  (B01),May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,
evm,01-data/import_templates/activity_master.csv,7,The Big -P.01-UP-20-April-26,E-SUB-B02-REP-1000,Submittal for General Replacement Plan & Typical Sections for Replacement / Backfilling DWGs (B02),May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,
evm,01-data/import_templates/activity_master.csv,98,The Big -P.01-UP-20-April-26,E-SUB-B04-WT-1000,Submittal for PC Raft Conc. Dim. DWGs (B04) (Water Tank),17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,
evm,01-data/import_templates/activity_master.csv,11,The Big -P.01-UP-20-April-26,P-MS-1020,Submittal for Soil Replacement,17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,
evm,01-data/import_templates/activity_master.csv,12,The Big -P.01-UP-20-April-26,P-MS-1010,Submittal for Plain Concrete,17-May-26,0.0,0.0,0.0,0.0,0,0.0,0,0.0,,,,,,,
