source_table,source_path,row_order,project_id,Project Name,Contract No,Employer,Contractor,Consultant,Baseline Name,Impacted Update Name,Data Date,Prepared By,Report Revision,Report Date,Delay Category,Primary Cause Family,Primary Claim Position,project_key,project_name,contract_number,employer,contractor,consultant,baseline_schedule_name,baseline_data_date,impacted_update_name,impacted_data_date,analysis_data_date,prepared_by,report_revision,report_date,calendar_name,contract_time_unit,project_finish_milestone_id,Activity ID,Activity Name,Resource ID,Register Building / Zone Allocation,Drive Activity Dates,BL Start,BL Finish,Start,Finish,Allocation Date,Allocation Ref,Act. Start Status,Act. Finish Status,Original Duration,Actual Duration,Deviated Duration,Budgeted Units,Available units supplied by client vs Actual units of activities,Delayed duration in days due to steel un avilability in site,Remaining Units,Units % Complete,Budgeted Units / Time,Responsibility,Reason for Delay,Responsibility.1,Reason for Delay.1,Note,BL critical Path,BL Longest Path,Updated Critical Path,Updated Longest Path,source_id,source_role,source_file_name,source_relative_path,source_sha256,file_date,received_date,source_owner,source_status,notes,Coding No.,Supplier,Total Quantity,Date of delivery,Clause / Topic,Location,Plain English Meaning,Research the Lines,Who Holds Leverage,Notice / Time Bar,Money Impact,Schedule Impact,Practical Action / Evidence,event_id,event_variant,event_name,event_category,responsible_party,notice_status,event_start,event_finish,claimed_delay_days,affected_activity_id,evidence_reference,causation_status,criticality_status,inclusion_in_integrated_eot,analyst_status,fragnet_activity_id,fragnet_activity_name,activity_type,original_duration_days,fragnet_start,fragnet_finish,data_date,activity_id,milestone_activity_name,before_total_float_days,before_forecast_finish,after_total_float_days,after_forecast_finish,float_change_days,finish_movement_calendar_days,impact_assessment,verification_status,Unnamed: 4,overlap_id,contractor_event_id,employer_event_id,overlap_start,overlap_finish,overlap_calendar_days,concurrent_delay_days,apportionment_method,concurrency_adjustment_days,included_in_adjustment,entitlement_position,Primary Event ID,Delayed duration,Overlap Start,Overlap Finish,BL Critical Path,Current Critical Path,Delayed duration after overlap,Concurrent delay,WBS,Building / Zone,Total Float,Longest Path,First Affected Flag,Predecessor Activity ID,Predecessor Relationship Type,Predecessor Lag,Successor Activity ID,Successor Relationship Type,Successor Lag,Fragment Start,Fragment Finish,Fragment Duration,evidence_id,evidence_type,document_date,time_bar_status,compensation_status,entitlement_status,Dia,RFT for RC Raft & Footings (B03) (footing) 196,RFT for RC Raft (B04) (Water Tank) 45.81,RFT for RC Raft & Footings (B02) (footing) 155.5,RFT for Columns & Walls Below SOG (B03) (footing),RFT for Columns & Walls Below SOG (B02) (footing),RFT for RC Raft & Footings (B01) (footing),RFT for Columns & Walls Below SOG (B01) (footing),"RFT for Walls, Col. & Cores (B03) (Bas 02)",RFT for Walls (B04) (Water Tank),RFT for RC Raft & Footings (B04) (footing) 192,RFT for Columns & Walls Below SOG (B04) (footing),"RFT for Walls, Col. & Cores (B02) (Bas 02)",1-Oct-25,1-Dec-25,1-Feb-26,1-May-26,scenario_id,scenario_name,status_date,baseline_progress_percent,impacted_progress_percent,recovery_progress_percent,baseline_finish,impacted_finish,recovery_finish,predecessor_activity_id,successor_activity_id,relationship_type,lag_days,p6_update_reference,source_file,source_sheet,source_row,release_id,release_status,approval_status,baseline_project_finish,impacted_project_finish,gross_included_event_movement_days,integrated_eot_calendar_days,approved_matrix_reference,source_manifest_reference,approval_reference,approved_by,approved_date,reconciliation_id,issue_type,issue_description,historical_value,active_position,resolution_required,owner,status,artifact_id,artifact_type,artifact_title,output_filename,source_project_id,source_report_fingerprint,generated_at,review_status,publication_status
01-project_metadata_template,02-delay_analysis/unified_tia_csv/01-project_metadata_template.csv,1,The Big -P.01-UP-20-April-26,The Big Business District,Ph-01,ROYA,SAMCO National Construction Company,ACE Project Management / Moharram Bakhoum,Baseline dates from 03- p6_activity_export.csv,The Big -P.01-UP-20-April-26,5-May-26,Engineer Ahmed Labib,TIA,6-Jun-26,Steel / IFC / RFI / Payments,Employer steel supply delay with support design / RFI / payment context / IFC,"Employer-driven steel delay requires stronger evidence, ifc, RFI and canonical data binding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02- master_activity_steel_analysis,02-delay_analysis/unified_tia_csv/02- master_activity_steel_analysis.csv,1,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-B03-FOOT-1050,RFT for RC Raft & Footings (B03) (footing),BIG.Q.Rft,B03,Yes,5-Jan-26,17-Jan-26,1-Jan-26,21-Jn-26 ,9-Dec-25,ALLOC-001,Start,Finished,10,16,-8,195.4,392.2,0,0.0,1.0,19.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02- master_activity_steel_analysis,02-delay_analysis/unified_tia_csv/02- master_activity_steel_analysis.csv,2,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-B04-WT-1070,RFT for RC Raft (B04) (Water Tank),BIG.Q.Rft,B04,Yes,3-Dec-25,8-Dec-25,1-Jan-26,17-Jn-26 ,9-Dec-25,ALLOC-002,Start,Finished,5,12,2,45.0,347.2,0,0.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02- master_activity_steel_analysis,02-delay_analysis/unified_tia_csv/02- master_activity_steel_analysis.csv,3,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-B02-FOOT-1050,RFT for RC Raft & Footings (B02) (footing),BIG.Q.Rft,B02,Yes,20-Dec-25,30-Dec-25,3-Jan-26,21-Jn-26 ,9-Dec-25,ALLOC-003,Start,Finished,10,15,-7,155.5,191.7,0,0.0,1.0,15.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02- master_activity_steel_analysis,02-delay_analysis/unified_tia_csv/02- master_activity_steel_analysis.csv,4,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-B03-FOOT-1070,RFT for Columns & Walls Below SOG (B03) (footing),BIG.Q.Rft,B03,Yes,12-Jan-26,17-Jan-26,26-Jan-26,2-Mar-26,9-Dec-25,ALLOC-004,Start,Finished,5,31,-48,141.5,50.2,0,0.0,1.0,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02- master_activity_steel_analysis,02-delay_analysis/unified_tia_csv/02- master_activity_steel_analysis.csv,5,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-B02-FOOT-1070,RFT for Columns & Walls Below SOG (B02) (footing),BIG.Q.Rft,B02,Yes,23-Dec-25,29-Dec-25,28-Jan-26,4-Mar-26,9-Dec-25,ALLOC-005,Start,Finished,6,30,-50,109.0,-58.8,-24,0.0,1.0,18.16666667,Employer,no RFT avilable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02- master_activity_steel_analysis,02-delay_analysis/unified_tia_csv/02- master_activity_steel_analysis.csv,6,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-B01-FOOT-1050,RFT for RC Raft & Footings (B01) (footing),BIG.Q.Rft,B01,Yes,6-Dec-25,18-Dec-25,1-Feb-26,5-Mar-26,9-Dec-25,ALLOC-005A,Start,Finished,14,28,0,114.5,-173.3,-14,0.0,1.0,8.178571429,Employer,no RFT avilable,Employer,no RFT avilable,9 DAYS DELAYS DUE TO NO RFT Available till delivered on 14-feb-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02- master_activity_steel_analysis,02-delay_analysis/unified_tia_csv/02- master_activity_steel_analysis.csv,7,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-B01-FOOT-1070,RFT for Columns & Walls Below SOG (B01) (footing),BIG.Q.Rft,B01,Yes,9-Dec-25,17-Dec-25,28-Feb-26,6-May-26,14-Feb-26,ALLOC-006,Start,In Progress,8,52,-93,178.5,19.315,0,0.3,0.85,22.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02- master_activity_steel_analysis,02-delay_analysis/unified_tia_csv/02- master_activity_steel_analysis.csv,8,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-B03-BAS02-1010,"RFT for Walls, Col. & Cores (B03) (Bas 02)",BIG.Q.Rft,B03,Yes,22-Jan-26,5-Feb-26,5-Mar-26,11-Mar-26,14-Feb-26,ALLOC-008A,Start,Finished,12,5,40,30.3,-10.985,0,0.0,1.0,2.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02- master_activity_steel_analysis,02-delay_analysis/unified_tia_csv/02- master_activity_steel_analysis.csv,9,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CON-B04-WT-1110,RFT for Walls (B04) (Water Tank),BIG.Q.Rft,B04,Yes,13-Dec-25,21-Dec-25,4-Mar-26,14-Apr-26,14-Feb-26,ALLOC-008B,Start,Finished,8,33,2,48.7,-59.685,-25,0.0,1.0,6.0875,Employer,no RFT avilable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
