source_table,source_path,row_order,project_id,claim_id,contract_id,claim_event_ref,claim_title,notice_date,particulars_due,claimed_amount,claimed_days,status,entitlement_basis,responsibility,payment,contract,project,invoice no,invoice date,certified amount,paid amount,payment status,Contractual interest due,Date of Cash Cheque Receipt,Period for payment release,Period in which interest is applied,Amount of interest claimed (EGP),delayed duration(Days) ,Unnamed: 14,Unnamed: 15,Unnamed: 16,period_date,planned_cash_out,planned_cumulative_cash_out,currency,basis,source_file,source_sheet,source_row,notes,Unnamed: 17,Unnamed: 18
claims,01-data/import_templates/claims.csv,1,The Big -P.01-UP-20-April-26,1,PH-01,2,Employer free issue material,85,1.3,0,35,submitted,must supply,client,,,,,,,,,,,,,,,,,,,,,,,,,,,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,1,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Oct-25,0,0,EGP,,,,,,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,2,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Nov-25,8347296.45,8347296.45,EGP,,,,,,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,3,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Dec-25,61405155.86,69752452.31,EGP,,,,,,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,4,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Jan-26,67496644.02,137249096.3,EGP,,,,,,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,5,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Feb-26,33633991.22,170883087.6,EGP,,,,,,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,6,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-26,38111113.51,208994201.1,EGP,,,,,,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,7,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr-26,29721101.71,238715302.8,EGP,,,,,,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,8,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-May-26,20259735.78,258975038.6,EGP,,,,,,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,9,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-26,13490432.04,272465470.6,EGP,,,,,,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,10,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Jul-26,14762397.2,287227867.8,EGP,,,,,,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,11,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-26,9924530.76,297152398.6,EGP,,,,,,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,12,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Sep-26,12399329.58,309551728.1,EGP,,,,,,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,13,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Oct-26,8650019.18,318201747.3,EGP,,,,,,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,14,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Nov-26,14242110.8,332443858.1,EGP,,,,,,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,15,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Dec-26,10767589.67,343211447.8,EGP,,,,,,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,16,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Jan-27,14357924.01,357569371.8,EGP,,,,,,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,17,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Feb-27,9156113.78,366725485.6,EGP,,,,,,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,18,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-27,560539.45,367286025,EGP,,,,,,,
08- payments,02-delay_analysis/unified_tia_csv/08- payments.csv,1,The Big -P.01-UP-20-April-26,,,,,,,,,,,,1.0,Ph-01,The Big -P.01-UP-20-April-26,1.0,6-Dec-25,23485862.02,23485862.02,Paid,45.0,10-Feb-26,66.0,7.0,17547.5994,6.0,,,,,,,,,,,,,,
08- payments,02-delay_analysis/unified_tia_csv/08- payments.csv,2,The Big -P.01-UP-20-April-26,,,,,,,,,,,,2.0,Ph-01,The Big -P.01-UP-20-April-26,2.0,29-Dec-25,26309019.51,26309019.51,Paid,45.0,10-Mar-26,71.0,26.0,73052.11174,11.0,,,,,,,,,,,,,,
08- payments,02-delay_analysis/unified_tia_csv/08- payments.csv,3,The Big -P.01-UP-20-April-26,,,,,,,,,,,,3.0,Ph-01,The Big -P.01-UP-20-April-26,3.0,24-Jan-26,20099944.0,20099944.0,Paid,45.0,19-Apr-26,85.0,40.0,63236.8278,25.0,,,,,,,,,,,,,,
08- payments,02-delay_analysis/unified_tia_csv/08- payments.csv,4,The Big -P.01-UP-20-April-26,,,,,,,,,,,,4.0,Ph-01,The Big -P.01-UP-20-April-26,4.0,25-Feb-26,40393706.06,40393706.06,Paid,45.0,4-May-26,68.0,23.0,78936.30398,8.0,,,,,,,,,,,,,,
08- payments,02-delay_analysis/unified_tia_csv/08- payments.csv,5,The Big -P.01-UP-20-April-26,,,,,,,,,,,,5.0,Ph-01,The Big -P.01-UP-20-April-26,5.0,25-Mar-26,17641618.94,0.0,Under Payment,45.0,,,,,,,,,,,,,,,,,,,
08- payments,02-delay_analysis/unified_tia_csv/08- payments.csv,6,The Big -P.01-UP-20-April-26,,,,,,,,,,,,6.0,Ph-01,The Big -P.01-UP-20-April-26,6.0,26-Apr-26,15475615.0,0.0,Under Payment,45.0,,,,,,,,,,,,,,,,,,,
08- payments,02-delay_analysis/unified_tia_csv/08- payments.csv,7,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08- payments,02-delay_analysis/unified_tia_csv/08- payments.csv,8,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
payment_projection,01-data/import_templates/payment_projection.json,1,The Big -P.01-UP-20-April-26,,,,,,,,,,,,1.0,Ph-01,The Big -P.01-UP-20-April-26,1.0,6-Dec-25,23485862.02,23485862.02,Paid,45.0,10-Feb-26,66.0,7.0,17547.5994,6.0,,,,,,,,,,,,,,
payment_projection,01-data/import_templates/payment_projection.json,2,The Big -P.01-UP-20-April-26,,,,,,,,,,,,2.0,Ph-01,The Big -P.01-UP-20-April-26,2.0,29-Dec-25,26309019.51,26309019.51,Paid,45.0,10-Mar-26,71.0,26.0,73052.11174,11.0,,,,,,,,,,,,,,
payment_projection,01-data/import_templates/payment_projection.json,3,The Big -P.01-UP-20-April-26,,,,,,,,,,,,3.0,Ph-01,The Big -P.01-UP-20-April-26,3.0,24-Jan-26,20099944.0,20099944.0,Paid,45.0,19-Apr-26,85.0,40.0,63236.8278,25.0,,,,,,,,,,,,,,
payment_projection,01-data/import_templates/payment_projection.json,4,The Big -P.01-UP-20-April-26,,,,,,,,,,,,4.0,Ph-01,The Big -P.01-UP-20-April-26,4.0,25-Feb-26,40393706.06,40393706.06,Paid,45.0,4-May-26,68.0,23.0,78936.30398,8.0,,,,,,,,,,,,,,
payment_projection,01-data/import_templates/payment_projection.json,5,The Big -P.01-UP-20-April-26,,,,,,,,,,,,5.0,Ph-01,The Big -P.01-UP-20-April-26,5.0,25-Mar-26,17641618.94,0.0,Under Payment,45.0,,,,,,,,,,,,,,,,,,,
payment_projection,01-data/import_templates/payment_projection.json,6,The Big -P.01-UP-20-April-26,,,,,,,,,,,,6.0,Ph-01,The Big -P.01-UP-20-April-26,6.0,26-Apr-26,15475615.0,0.0,Under Payment,45.0,,,,,,,,,,,,,,,,,,,
payment_projection,01-data/import_templates/payment_projection.json,7,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
payment_projection,01-data/import_templates/payment_projection.json,8,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,
