record_type,sheet_name,row_order,file_name,relative_path,extension,size_kb,modified,Ref No,Date,Type,Subject,Main Purpose,Key Requests,Scope Impact,Responsibility,Affected Activities,Start Dependency,Sequence Impact,Commercial Impact,Risk Type,Risk Owner,Delay Risk,EOT Potential,Claim Strength,Required Actions,project_id,Thread,SAMCO Ref No,SAMCO Sheet Row,SAMCO Date,SAMCO Type,SAMCO Subject,Related ACE Ref No(s),ACE Sheet Row(s),ACE Date(s),ACE Subject(s),Relationship,Confidence,SAMCO Claim Strength,ACE Claim Strength,SAMCO Delay Risk,ACE Delay Risk,Recommended Follow-up,ACE Ref No,ACE Sheet Row,ACE Date,ACE Type,ACE Subject,Related SAMCO Ref No(s),SAMCO Sheet Row(s),SAMCO Subject(s),Thread(s),ACE EOT Potential,ACE Required Actions,SAMCO Ref(s),6,Main Link,Priority,Next Action,Source File,Direction,Reference,Classification,Issue Thread,Status,Message
inbox_file,Inbox Files,1,032.pdf,07-letters_intelligence/inbox/From ACE/032.pdf,pdf,126.3,2026-08-13T21:25:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inbox_file,Inbox Files,2,033.pdf,07-letters_intelligence/inbox/From ACE/033.pdf,pdf,126.3,2026-08-13T21:25:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inbox_file,Inbox Files,3,034-Submission of proof of payment for engineering stamps due on contractual works..pdf,07-letters_intelligence/inbox/From ACE/034-Submission of proof of payment for engineering stamps due on contractual works..pdf,pdf,118.2,2026-08-13T21:25:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inbox_file,Inbox Files,4,035-Re Notification of Reinforcement Steel Supply Status and Entitlement to Tim Extensions.pdf,07-letters_intelligence/inbox/From ACE/035-Re Notification of Reinforcement Steel Supply Status and Entitlement to Tim Extensions.pdf,pdf,87.2,2026-08-13T21:25:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inbox_file,Inbox Files,5,036-Failure to Achieve Section (1) Milestone within the contractual Due Date.pdf,07-letters_intelligence/inbox/From ACE/036-Failure to Achieve Section (1) Milestone within the contractual Due Date.pdf,pdf,77.5,2026-08-13T21:25:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inbox_file,Inbox Files,6,037-Notice of Slow Progress Rate and Comments on Monthly Progress Report - April 2026.pdf,07-letters_intelligence/inbox/From ACE/037-Notice of Slow Progress Rate and Comments on Monthly Progress Report - April 2026.pdf,pdf,254.1,2026-08-13T21:25:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inbox_file,Inbox Files,7,BD-CW-SAMCO-ACE-LET-STR-072.pdf,07-letters_intelligence/inbox/From SAMCO/BD-CW-SAMCO-ACE-LET-STR-072.pdf,pdf,1479.1,2026-08-13T21:25:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inbox_file,Inbox Files,8,BD-CW-SAMCO-ACE-LET-STR-073.pdf,07-letters_intelligence/inbox/From SAMCO/BD-CW-SAMCO-ACE-LET-STR-073.pdf,pdf,179.2,2026-08-13T21:25:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inbox_file,Inbox Files,9,BD-CW-SAMCO-ACE-LET-STR-074.pdf,07-letters_intelligence/inbox/From SAMCO/BD-CW-SAMCO-ACE-LET-STR-074.pdf,pdf,197.8,2026-08-13T21:25:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inbox_file,Inbox Files,10,BD-CW-SAMCO-ACE-LET-STR-075.pdf,07-letters_intelligence/inbox/From SAMCO/BD-CW-SAMCO-ACE-LET-STR-075.pdf,pdf,114.4,2026-08-13T21:25:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inbox_file,Inbox Files,11,BD-CW-SAMCO-ACE-LET-STR-076.pdf,07-letters_intelligence/inbox/From SAMCO/BD-CW-SAMCO-ACE-LET-STR-076.pdf,pdf,161.8,2026-08-13T21:25:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inbox_file,Inbox Files,12,BD-CW-SAMCO-ACE-LET-STR-077.pdf,07-letters_intelligence/inbox/From SAMCO/BD-CW-SAMCO-ACE-LET-STR-077.pdf,pdf,286.4,2026-08-13T21:25:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inbox_file,Inbox Files,13,BD-CW-SAMCO-ACE-LET-STR-078.pdf,07-letters_intelligence/inbox/From SAMCO/BD-CW-SAMCO-ACE-LET-STR-078.pdf,pdf,225.4,2026-08-13T21:25:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inbox_file,Inbox Files,14,BD-CW-SAMCO-ACE-LET-STR-079.pdf,07-letters_intelligence/inbox/From SAMCO/BD-CW-SAMCO-ACE-LET-STR-079.pdf,pdf,119.5,2026-08-13T21:25:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inbox_file,Inbox Files,15,BD-CW-SAMCO-ACE-LET-STR-080.pdf,07-letters_intelligence/inbox/From SAMCO/BD-CW-SAMCO-ACE-LET-STR-080.pdf,pdf,127.6,2026-08-13T21:25:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inbox_file,Inbox Files,16,BD-CW-SAMCO-ACE-LET-STR-081.pdf,07-letters_intelligence/inbox/From SAMCO/BD-CW-SAMCO-ACE-LET-STR-081.pdf,pdf,41.7,2026-08-13T21:25:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inbox_file,Inbox Files,17,BD-CW-SAMCO-ACE-LET-STR-082.pdf,07-letters_intelligence/inbox/From SAMCO/BD-CW-SAMCO-ACE-LET-STR-082.pdf,pdf,390.2,2026-08-13T21:25:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
letter_register,From SAMCO to ACE,1,,,,,,BD-CW-SAMCO-ACE-LET-STR-001,20-May-2025,Delegation,Delegation of Authority,Authorize SAMCO representative for project matters,Acknowledge delegated authority,,SAMCO,Project administration,,,,Administrative,SAMCO,,,,Record authorized representative,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
letter_register,From SAMCO to ACE,2,,,,,,BD-CW-SAMCO-ACE-LET-STR-002,30-Jun-2025,Delegation,Delegation of Authority,Update/confirm SAMCO authorized representative,Acknowledge Eng. Ahmed El Geady authority,,SAMCO,Project administration,,,,Administrative,SAMCO,,,,Update correspondence matrix,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
letter_register,From SAMCO to ACE,3,,,,,,BD-CW-SAMCO-ACE-LET-STR-003,30-Jun-2025,Response / Reservation,RE: Outstanding Deliverables - Urgent Response Required,Respond to ACE-PM notices on overdue deliverables and delay items,"Confirm TC1 installed, request soil replacement completion schedule, submit PM CV, reserve baseline dependency",No new scope; start tied to soil replacement by others,"Shared: SAMCO for submittals, Employer/others for soil works","Tower cranes, baseline program, shop drawings, soil replacement, steel inventory",Completion of soil replacement and confirmed start date,High impact on baseline and start of works,Potential prolongation if dependencies remain unresolved,Schedule / Interface,Shared,High,Moderate,Moderate,Close outstanding submittals and issue confirmed soil replacement schedule,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
letter_register,From SAMCO to ACE,4,,,,,,BD-CW-SAMCO-ACE-LET-STR-004,28-Aug-2025,Notice / Site Condition,RE: Site Survey Findings and Allocation of Concrete Batching Plant,"Record survey deviations, ramp changes, batching plant location, and Zone 2 handover conditions","Review survey findings, approve guidance, accept owner cost/time if batching plant relocated","Site boundaries, ramp, batching plant and Zone 2 handover affected",Owner/Engineer for handover/location; SAMCO for execution after access,"Boundary excavation, ramp works, batching plant, Zone 2 works",Full land handover; Zone 2 commencement three months after handover,"Medium to High, especially Zone 2",Possible relocation cost and time extension,Site Access / Interface,Shared / Owner,High,Moderate to High,Moderate,Issue final survey decisions and confirm batching plant/ramp instructions,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
letter_register,From SAMCO to ACE,5,,,,,,BD-CW-SAMCO-ACE-LET-STR-005,10-Sep-2025,Notice of Delay / Site Obstacle,RE: Documentation of Site Obstacles Affecting Project Progress,Document water leakage and inability to complete testing/excavation,"Resolve leakage, notify when clear, exclude affected period from contract duration",No scope change; site condition obstructs works,Owner/Engineer for utility issue; SAMCO to resume after clearance,"DCPT, open pits, tank survey, excavation",Leakage repair and safe site access,High for affected testing/excavation sequence,Potential prolongation and remediation cost,Site Condition / Delay,Owner / Shared,High,Moderate to High,Moderate,"Repair leakage, document affected period, update recovery plan",The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
letter_register,From SAMCO to ACE,6,,,,,,BD-CW-SAMCO-ACE-LET-STR-006,22-Sep-2025,Response,RE: Response to Letter No. BD-ACEPM-SAMCO-LET-004,Confirm contractual submissions are being completed,"Submit staff, schedule, HSE, QAP, BBS and reports progressively",No scope impact,SAMCO,Pre-construction submittals and reporting,Contractual submission cycle,Medium if approvals lag,Low direct commercial impact,Contract Compliance,SAMCO,Medium,Low,Weak,Submit remaining contractual documents,The Big -P.01-UP-20-April-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
