project_id,period_date,planned_cash_out,planned_cumulative_cash_out,currency,basis,source_file,source_sheet,source_row,notes
The Big -P.01-UP-20-April-26,1-Oct-25,0,0,EGP,,,,,
The Big -P.01-UP-20-April-26,1-Nov-25,8347296.45,8347296.45,EGP,,,,,
The Big -P.01-UP-20-April-26,1-Dec-25,61405155.86,69752452.31,EGP,,,,,
The Big -P.01-UP-20-April-26,1-Jan-26,67496644.02,137249096.3,EGP,,,,,
The Big -P.01-UP-20-April-26,1-Feb-26,33633991.22,170883087.6,EGP,,,,,
The Big -P.01-UP-20-April-26,1-Mar-26,38111113.51,208994201.1,EGP,,,,,
The Big -P.01-UP-20-April-26,1-Apr-26,29721101.71,238715302.8,EGP,,,,,
The Big -P.01-UP-20-April-26,1-May-26,20259735.78,258975038.6,EGP,,,,,
The Big -P.01-UP-20-April-26,1-Jun-26,13490432.04,272465470.6,EGP,,,,,
The Big -P.01-UP-20-April-26,1-Jul-26,14762397.2,287227867.8,EGP,,,,,
The Big -P.01-UP-20-April-26,1-Aug-26,9924530.76,297152398.6,EGP,,,,,
The Big -P.01-UP-20-April-26,1-Sep-26,12399329.58,309551728.1,EGP,,,,,
The Big -P.01-UP-20-April-26,1-Oct-26,8650019.18,318201747.3,EGP,,,,,
The Big -P.01-UP-20-April-26,1-Nov-26,14242110.8,332443858.1,EGP,,,,,
The Big -P.01-UP-20-April-26,1-Dec-26,10767589.67,343211447.8,EGP,,,,,
The Big -P.01-UP-20-April-26,1-Jan-27,14357924.01,357569371.8,EGP,,,,,
The Big -P.01-UP-20-April-26,1-Feb-27,9156113.78,366725485.6,EGP,,,,,
The Big -P.01-UP-20-April-26,1-Mar-27,560539.45,367286025,EGP,,,,,
