source_table,source_path,row_order,project_id,wbs_id,activity_id,activity_name,planned_start,planned_finish,actual_start,actual_finish,forecast_start,forecast_finish,planned_weight,planned_progress,actual_progress,total_float_days,is_critical,responsible_party,Activity ID,Activity Name,WBS,Baseline Start,Baseline Finish,Start,Finish,Actual Start,Actual Finish,Remaining Duration,Total Float,Free Float,Critical,Longest Path,Predecessors,Successors,Remaining Units,Budgeted Units,Physical % Complete,schedule_version,wbs_code,activity_type,calendar_name,baseline_start,baseline_finish,remaining_duration_days,free_float_days,is_longest_path,physical_percent_complete,source_id,notes,master_project_id,master_activity_id,master_activity_row_order,master_evm_row_order,master_progress_row_order,activity__project_id,activity__wbs_id,activity__activity_id,activity__activity_name,activity__planned_start,activity__planned_finish,activity__actual_start,activity__actual_finish,activity__forecast_start,activity__forecast_finish,activity__planned_weight,activity__planned_progress,activity__actual_progress,activity__total_float_days,activity__is_critical,activity__responsible_party,evm__project_id,evm__activity_id,evm__activity_name,evm__period,evm__BAC,evm__AC,evm__EV,evm__PV,evm__CPI,evm__SPI,evm__CV,evm__SV,progress__project_id,progress__activity_id,progress__update_date,progress__planned_progress,progress__actual_progress,progress__planned_value,progress__earned_value,progress__actual_cost,progress__notes
activities,01-data/import_templates/activities.csv,1,Nasr city-Tunnel,Nasr city-Tunnel.NCT.MILESTONE,NCT-MS-1000,Notice to Proceed,5-Jan-26,,5-Jan-26 A,5-Jan-26 A,5-Jan-26,,0.0200,1.00,1.00,8,No,Project Controls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,2,Nasr city-Tunnel,Nasr city-Tunnel.NCT.MILESTONE,NCT-MS-1010,Site Handover,8-Jan-26,,9-Jan-26 A,9-Jan-26 A,9-Jan-26,,0.0280,1.00,1.00,10,No,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,3,Nasr city-Tunnel,Nasr city-Tunnel.NCT.ENGINEERING,NCT-ENG-1020,Issue IFC Architectural Drawings,10-Jan-26,23-Jan-26,12-Jan-26 A,25-Jan-26 A,12-Jan-26,25-Jan-26,0.0360,1.00,1.00,12,No,Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,4,Nasr city-Tunnel,Nasr city-Tunnel.NCT.ENGINEERING,NCT-ENG-1030,Approve Structural Shop Drawings,17-Jan-26,6-Feb-26,17-Jan-26 A,9-Feb-26 A,17-Jan-26,9-Feb-26,0.0440,1.00,1.00,14,No,Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,5,Nasr city-Tunnel,Nasr city-Tunnel.NCT.PROCUREMENT,NCT-PRC-1040,Procure Reinforcement Steel,25-Jan-26,28-Feb-26,26-Jan-26 A,28-Feb-26 A,26-Jan-26,28-Feb-26,0.0520,1.00,1.00,16,No,Procurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,6,Nasr city-Tunnel,Nasr city-Tunnel.NCT.PROCUREMENT,NCT-PRC-1050,Deliver Formwork Materials,30-Jan-26,26-Feb-26,1-Feb-26 A,27-Feb-26 A,1-Feb-26,27-Feb-26,0.0600,1.00,1.00,18,No,Procurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,7,Nasr city-Tunnel,Nasr city-Tunnel.NCT.BLDG-A.SUBSTRUCTURE,NCT-A-EXC-1060,Building A Excavation,9-Feb-26,26-Feb-26,9-Feb-26 A,28-Feb-26 A,9-Feb-26,28-Feb-26,0.0200,1.00,1.00,20,No,Civil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,8,Nasr city-Tunnel,Nasr city-Tunnel.NCT.BLDG-A.SUBSTRUCTURE,NCT-A-PC-1070,Building A Plain Concrete,27-Feb-26,6-Mar-26,28-Feb-26 A,9-Mar-26 A,28-Feb-26,9-Mar-26,0.0280,1.00,1.00,22,No,Civil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,9,Nasr city-Tunnel,Nasr city-Tunnel.NCT.BLDG-A.SUBSTRUCTURE,NCT-A-RFT-1080,Building A Raft Reinforcement,7-Mar-26,26-Mar-26,9-Mar-26 A,26-Mar-26 A,9-Mar-26,26-Mar-26,0.0360,1.00,1.00,12,No,Civil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,10,Nasr city-Tunnel,Nasr city-Tunnel.NCT.BLDG-A.SUBSTRUCTURE,NCT-A-CON-1090,Building A Raft Concrete,27-Mar-26,31-Mar-26,27-Mar-26 A,1-Apr-26 A,27-Mar-26,1-Apr-26,0.0440,1.00,1.00,15,No,Civil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,11,Nasr city-Tunnel,Nasr city-Tunnel.NCT.BLDG-B.SUBSTRUCTURE,NCT-B-EXC-1100,Building B Excavation,16-Feb-26,7-Mar-26,17-Feb-26 A,9-Mar-26 A,17-Feb-26,9-Mar-26,0.0520,1.00,1.00,28,No,Civil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,12,Nasr city-Tunnel,Nasr city-Tunnel.NCT.BLDG-B.SUBSTRUCTURE,NCT-B-PC-1110,Building B Plain Concrete,8-Mar-26,14-Mar-26,10-Mar-26 A,17-Mar-26 A,10-Mar-26,17-Mar-26,0.0600,1.00,1.00,30,No,Civil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,13,Nasr city-Tunnel,Nasr city-Tunnel.NCT.BLDG-B.SUBSTRUCTURE,NCT-B-RFT-1120,Building B Raft Reinforcement,15-Mar-26,5-Apr-26,15-Mar-26 A,5-Apr-26 A,15-Mar-26,5-Apr-26,0.0200,1.00,1.00,24,No,Civil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,14,Nasr city-Tunnel,Nasr city-Tunnel.NCT.BLDG-B.SUBSTRUCTURE,NCT-B-CON-1130,Building B Raft Concrete,6-Apr-26,11-Apr-26,7-Apr-26 A,12-Apr-26 A,7-Apr-26,12-Apr-26,0.0280,1.00,1.00,27,No,Civil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,15,Nasr city-Tunnel,Nasr city-Tunnel.NCT.UTILITIES,NCT-UTL-1140,Underground Drainage Network,16-Mar-26,14-Apr-26,18-Mar-26 A,16-Apr-26 A,18-Mar-26,16-Apr-26,0.0360,1.00,1.00,36,No,MEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,16,Nasr city-Tunnel,Nasr city-Tunnel.NCT.SUPERSTRUCTURE,NCT-STR-1150,Ground Floor Structural Frame,13-Apr-26,27-May-26,13-Apr-26 A,,13-Apr-26,12-Jun-26,0.0440,1.00,0.89,33,No,Civil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,17,Nasr city-Tunnel,Nasr city-Tunnel.NCT.MILESTONE,NCT-MS-1160,Substructure Completion,28-May-26,,29-May-26 A,,29-May-26,,0.0520,1.00,0.92,36,No,Project Controls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-p6_activity_export,02-delay_analysis/unified_tia_csv/04-p6_activity_export.csv,1,Nasr city-Tunnel,,,,,,,,,,,,,,,,NCT-MS-1000,Project Start Milestone,Nasr city-Tunnel.KD,15-Jan-26,,15-Jan-26,,15-Jan-26,,0,0,0,No,Yes,,NCT-MOB-1010,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-p6_activity_export,02-delay_analysis/unified_tia_csv/04-p6_activity_export.csv,2,Nasr city-Tunnel,,,,,,,,,,,,,,,,NCT-MOB-1010,Mobilization and site establishment,Nasr city-Tunnel.MOB,15-Jan-26,5-Feb-26,15-Jan-26,8-Feb-26,15-Jan-26,8-Feb-26,0,3,0,No,No,NCT-MS-1000,NCT-ST-CLB-FRM-1090,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-p6_activity_export,02-delay_analysis/unified_tia_csv/04-p6_activity_export.csv,3,Nasr city-Tunnel,,,,,,,,,,,,,,,,NCT-ST-CLB--1100FRM-1090,Formwork readiness before Raft reinforcement for Chlorination Building,Nasr city-Tunnel.CON.Chlorination Building,10-Feb-26,10-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,18-Feb-26,0,-8,0,Yes,Yes,NCT-MOB-1010,NCT-ST-CLB-RFT-1100,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
