source_table,source_path,row_order,project_id,activity_id,activity_name,period,BAC,AC,EV,PV,CPI,SPI,CV,SV,update_date,planned_progress,actual_progress,planned_value,earned_value,actual_cost,notes
evm,01-data/import_templates/evm.csv,1,Nasr city-Tunnel,NCT-MS-1000,Notice to Proceed,May-26,4500000.00,4635000.00,4500000.00,4500000.00,0.97,1.00,-135000.00,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,2,Nasr city-Tunnel,NCT-MS-1010,Site Handover,May-26,5625000.00,5934375.00,5625000.00,5625000.00,0.95,1.00,-309375.00,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,3,Nasr city-Tunnel,NCT-ENG-1020,Issue IFC Architectural Drawings,May-26,6750000.00,7290000.00,6750000.00,6750000.00,0.93,1.00,-540000.00,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,4,Nasr city-Tunnel,NCT-ENG-1030,Approve Structural Shop Drawings,May-26,7125000.00,7338750.00,7125000.00,7125000.00,0.97,1.00,-213750.00,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,5,Nasr city-Tunnel,NCT-PRC-1040,Procure Reinforcement Steel,May-26,8250000.00,8703750.00,8250000.00,8250000.00,0.95,1.00,-453750.00,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,6,Nasr city-Tunnel,NCT-PRC-1050,Deliver Formwork Materials,May-26,9375000.00,10125000.00,9375000.00,9375000.00,0.93,1.00,-750000.00,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,7,Nasr city-Tunnel,NCT-A-EXC-1060,Building A Excavation,May-26,9750000.00,10042500.00,9750000.00,9750000.00,0.97,1.00,-292500.00,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,8,Nasr city-Tunnel,NCT-A-PC-1070,Building A Plain Concrete,May-26,10875000.00,11473125.00,10875000.00,10875000.00,0.95,1.00,-598125.00,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,9,Nasr city-Tunnel,NCT-A-RFT-1080,Building A Raft Reinforcement,May-26,12000000.00,12960000.00,12000000.00,12000000.00,0.93,1.00,-960000.00,0.00,,,,,,,
evm,01-data/import_templates/evm.csv,10,Nasr city-Tunnel,NCT-A-CON-1090,Building A Raft Concrete,May-26,12375000.00,12746250.00,12375000.00,12375000.00,0.97,1.00,-371250.00,0.00,,,,,,,
