source_table,source_path,row_order,project_id,claim_id,contract_id,claim_event_ref,claim_title,notice_date,particulars_due,claimed_amount,claimed_days,status,entitlement_basis,responsibility,payment,contract,project,invoice no,invoice date,certified amount,paid amount,payment status,Contractual interest due,Date of Cash Cheque Receipt,Period for payment release,Period in which interest is applied,Amount of interest claimed (EGP),delayed duration(Days) ,Unnamed: 14,Unnamed: 15,Unnamed: 16,period_date,planned_cash_out,planned_cumulative_cash_out,currency,basis,source_file,source_sheet,source_row,notes,Unnamed: 17,Unnamed: 18
claims,01-data/import_templates/claims.csv,1,Nasr city-Tunnel,CL-101,NCT-PKG-01,DE-101,Late approval of structural shop drawings,9-Mar-26,20-Apr-26,8400000,21,submitted,Delayed engineer review and approval,engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claims,01-data/import_templates/claims.csv,2,Nasr city-Tunnel,CL-102,NCT-PKG-01,DE-102,Restricted access to Building B workfront,22-Apr-26,3-Jun-26,6150000,14,draft,Employer access obligation,client,,,,,,,,,,,,,,,,,,,,,,,,,,,,
payments,01-data/import_templates/payments.csv,1,Nasr city-Tunnel,,,,,,,,,,,,1.0,NCT-PKG-01,Nasr city-Tunnel,101.0,31-Jan-26,42000000.00,42000000.00,Paid,45.0,17-Mar-26,45.0,0.0,0.0000,0.0,,,,,,,,,,,,,,
payments,01-data/import_templates/payments.csv,2,Nasr city-Tunnel,,,,,,,,,,,,2.0,NCT-PKG-01,Nasr city-Tunnel,102.0,28-Feb-26,51500000.00,51500000.00,Paid,45.0,19-Apr-26,50.0,5.0,30900.0000,5.0,,,,,,,,,,,,,,
payments,01-data/import_templates/payments.csv,3,Nasr city-Tunnel,,,,,,,,,,,,3.0,NCT-PKG-01,Nasr city-Tunnel,103.0,31-Mar-26,60800000.00,60800000.00,Paid,45.0,25-May-26,55.0,10.0,72960.0000,10.0,,,,,,,,,,,,,,
payments,01-data/import_templates/payments.csv,4,Nasr city-Tunnel,,,,,,,,,,,,4.0,NCT-PKG-01,Nasr city-Tunnel,104.0,30-Apr-26,68400000.00,0.00,Certified,45.0,,0.0,0.0,0.0000,0.0,,,,,,,,,,,,,,
payments,01-data/import_templates/payments.csv,5,Nasr city-Tunnel,,,,,,,,,,,,5.0,NCT-PKG-02,Nasr city-Tunnel,201.0,15-Mar-26,22750000.00,22750000.00,Paid,45.0,2-May-26,48.0,3.0,8190.0000,3.0,,,,,,,,,,,,,,
payments,01-data/import_templates/payments.csv,6,Nasr city-Tunnel,,,,,,,,,,,,6.0,NCT-PKG-02,Nasr city-Tunnel,202.0,15-May-26,26400000.00,0.00,Submitted,45.0,,0.0,0.0,0.0000,0.0,,,,,,,,,,,,,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,1,Nasr city-Tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Jan-26,45950000.00,45950000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,2,Fabricated planning data for demonstration,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,2,Nasr city-Tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Feb-26,53900000.00,99850000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,3,Fabricated planning data for demonstration,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,3,Nasr city-Tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Mar-26,49250000.00,149100000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,4,Fabricated planning data for demonstration,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,4,Nasr city-Tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Apr-26,57200000.00,206300000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,5,Fabricated planning data for demonstration,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,5,Nasr city-Tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-May-26,65150000.00,271450000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,6,Fabricated planning data for demonstration,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,6,Nasr city-Tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Jun-26,60500000.00,331950000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,7,Fabricated planning data for demonstration,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,7,Nasr city-Tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Jul-26,68450000.00,400400000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,8,Fabricated planning data for demonstration,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,8,Nasr city-Tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Aug-26,76400000.00,476800000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,9,Fabricated planning data for demonstration,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,9,Nasr city-Tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Sep-26,71750000.00,548550000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,10,Fabricated planning data for demonstration,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,10,Nasr city-Tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Oct-26,79700000.00,628250000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,11,Fabricated planning data for demonstration,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,11,Nasr city-Tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Nov-26,87650000.00,715900000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,12,Fabricated planning data for demonstration,,
planned_cash_flow,01-data/import_templates/planned_cash_flow.csv,12,Nasr city-Tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-Dec-26,83000000.00,798900000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,13,Fabricated planning data for demonstration,,
08-payments,02-delay_analysis/unified_tia_csv/08-payments.csv,1,Nasr city-Tunnel,,,,,,,,,,,,1.0,NCT-001,Nasr city-Tunnel,1.0,31-Jan-26,28500000.0,28500000.0,Paid,45.0,12-Apr-26,71.0,26.0,88920.00,26.0,,,,,,,,,,,,,,
