project_id,wbs_id,activity_id,activity_name,planned_start,planned_finish,actual_start,actual_finish,forecast_start,forecast_finish,planned_weight,planned_progress,actual_progress,total_float_days,is_critical,responsible_party
Nasr city-Tunnel,Nasr city-Tunnel.NCT.MILESTONE,NCT-MS-1000,Notice to Proceed,5-Jan-26,,5-Jan-26 A,5-Jan-26 A,5-Jan-26,,0.0200,1.00,1.00,8,No,Project Controls
Nasr city-Tunnel,Nasr city-Tunnel.NCT.MILESTONE,NCT-MS-1010,Site Handover,8-Jan-26,,9-Jan-26 A,9-Jan-26 A,9-Jan-26,,0.0280,1.00,1.00,10,No,Commercial
Nasr city-Tunnel,Nasr city-Tunnel.NCT.ENGINEERING,NCT-ENG-1020,Issue IFC Architectural Drawings,10-Jan-26,23-Jan-26,12-Jan-26 A,25-Jan-26 A,12-Jan-26,25-Jan-26,0.0360,1.00,1.00,12,No,Engineering
Nasr city-Tunnel,Nasr city-Tunnel.NCT.ENGINEERING,NCT-ENG-1030,Approve Structural Shop Drawings,17-Jan-26,6-Feb-26,17-Jan-26 A,9-Feb-26 A,17-Jan-26,9-Feb-26,0.0440,1.00,1.00,14,No,Engineering
Nasr city-Tunnel,Nasr city-Tunnel.NCT.PROCUREMENT,NCT-PRC-1040,Procure Reinforcement Steel,25-Jan-26,28-Feb-26,26-Jan-26 A,28-Feb-26 A,26-Jan-26,28-Feb-26,0.0520,1.00,1.00,16,No,Procurement
Nasr city-Tunnel,Nasr city-Tunnel.NCT.PROCUREMENT,NCT-PRC-1050,Deliver Formwork Materials,30-Jan-26,26-Feb-26,1-Feb-26 A,27-Feb-26 A,1-Feb-26,27-Feb-26,0.0600,1.00,1.00,18,No,Procurement
Nasr city-Tunnel,Nasr city-Tunnel.NCT.BLDG-A.SUBSTRUCTURE,NCT-A-EXC-1060,Building A Excavation,9-Feb-26,26-Feb-26,9-Feb-26 A,28-Feb-26 A,9-Feb-26,28-Feb-26,0.0200,1.00,1.00,20,No,Civil
Nasr city-Tunnel,Nasr city-Tunnel.NCT.BLDG-A.SUBSTRUCTURE,NCT-A-PC-1070,Building A Plain Concrete,27-Feb-26,6-Mar-26,28-Feb-26 A,9-Mar-26 A,28-Feb-26,9-Mar-26,0.0280,1.00,1.00,22,No,Civil
Nasr city-Tunnel,Nasr city-Tunnel.NCT.BLDG-A.SUBSTRUCTURE,NCT-A-RFT-1080,Building A Raft Reinforcement,7-Mar-26,26-Mar-26,9-Mar-26 A,26-Mar-26 A,9-Mar-26,26-Mar-26,0.0360,1.00,1.00,12,No,Civil
Nasr city-Tunnel,Nasr city-Tunnel.NCT.BLDG-A.SUBSTRUCTURE,NCT-A-CON-1090,Building A Raft Concrete,27-Mar-26,31-Mar-26,27-Mar-26 A,1-Apr-26 A,27-Mar-26,1-Apr-26,0.0440,1.00,1.00,15,No,Civil
Nasr city-Tunnel,Nasr city-Tunnel.NCT.BLDG-B.SUBSTRUCTURE,NCT-B-EXC-1100,Building B Excavation,16-Feb-26,7-Mar-26,17-Feb-26 A,9-Mar-26 A,17-Feb-26,9-Mar-26,0.0520,1.00,1.00,28,No,Civil
Nasr city-Tunnel,Nasr city-Tunnel.NCT.BLDG-B.SUBSTRUCTURE,NCT-B-PC-1110,Building B Plain Concrete,8-Mar-26,14-Mar-26,10-Mar-26 A,17-Mar-26 A,10-Mar-26,17-Mar-26,0.0600,1.00,1.00,30,No,Civil
Nasr city-Tunnel,Nasr city-Tunnel.NCT.BLDG-B.SUBSTRUCTURE,NCT-B-RFT-1120,Building B Raft Reinforcement,15-Mar-26,5-Apr-26,15-Mar-26 A,5-Apr-26 A,15-Mar-26,5-Apr-26,0.0200,1.00,1.00,24,No,Civil
Nasr city-Tunnel,Nasr city-Tunnel.NCT.BLDG-B.SUBSTRUCTURE,NCT-B-CON-1130,Building B Raft Concrete,6-Apr-26,11-Apr-26,7-Apr-26 A,12-Apr-26 A,7-Apr-26,12-Apr-26,0.0280,1.00,1.00,27,No,Civil
Nasr city-Tunnel,Nasr city-Tunnel.NCT.UTILITIES,NCT-UTL-1140,Underground Drainage Network,16-Mar-26,14-Apr-26,18-Mar-26 A,16-Apr-26 A,18-Mar-26,16-Apr-26,0.0360,1.00,1.00,36,No,MEP
Nasr city-Tunnel,Nasr city-Tunnel.NCT.SUPERSTRUCTURE,NCT-STR-1150,Ground Floor Structural Frame,13-Apr-26,27-May-26,13-Apr-26 A,,13-Apr-26,12-Jun-26,0.0440,1.00,0.89,33,No,Civil
Nasr city-Tunnel,Nasr city-Tunnel.NCT.MILESTONE,NCT-MS-1160,Substructure Completion,28-May-26,,29-May-26 A,,29-May-26,,0.0520,1.00,0.92,36,No,Project Controls
