project_id,period_date,planned_cash_out,planned_cumulative_cash_out,currency,basis,source_file,source_sheet,source_row,notes
Nasr city-Tunnel,1-Jan-26,45950000.00,45950000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,2,Fabricated planning data for demonstration
Nasr city-Tunnel,1-Feb-26,53900000.00,99850000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,3,Fabricated planning data for demonstration
Nasr city-Tunnel,1-Mar-26,49250000.00,149100000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,4,Fabricated planning data for demonstration
Nasr city-Tunnel,1-Apr-26,57200000.00,206300000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,5,Fabricated planning data for demonstration
Nasr city-Tunnel,1-May-26,65150000.00,271450000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,6,Fabricated planning data for demonstration
Nasr city-Tunnel,1-Jun-26,60500000.00,331950000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,7,Fabricated planning data for demonstration
Nasr city-Tunnel,1-Jul-26,68450000.00,400400000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,8,Fabricated planning data for demonstration
Nasr city-Tunnel,1-Aug-26,76400000.00,476800000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,9,Fabricated planning data for demonstration
Nasr city-Tunnel,1-Sep-26,71750000.00,548550000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,10,Fabricated planning data for demonstration
Nasr city-Tunnel,1-Oct-26,79700000.00,628250000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,11,Fabricated planning data for demonstration
Nasr city-Tunnel,1-Nov-26,87650000.00,715900000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,12,Fabricated planning data for demonstration
Nasr city-Tunnel,1-Dec-26,83000000.00,798900000.00,EGP,Approved baseline cash flow,Synthetic_Data_Set.csv,Cash Flow,13,Fabricated planning data for demonstration
