project_id,activity_id,update_date,planned_progress,actual_progress,planned_value,earned_value,actual_cost,notes
Nasr city-Tunnel,NCT-MS-1000,31-May-26,1.00,1.00,4500000.00,4500000.00,4635000.00,Completed
Nasr city-Tunnel,NCT-MS-1010,31-May-26,1.00,1.00,5625000.00,5625000.00,5934375.00,Completed
Nasr city-Tunnel,NCT-ENG-1020,31-May-26,1.00,1.00,6750000.00,6750000.00,7290000.00,Completed
Nasr city-Tunnel,NCT-ENG-1030,31-May-26,1.00,1.00,7125000.00,7125000.00,7338750.00,Completed
Nasr city-Tunnel,NCT-PRC-1040,31-May-26,1.00,1.00,8250000.00,8250000.00,8703750.00,Completed
Nasr city-Tunnel,NCT-PRC-1050,31-May-26,1.00,1.00,9375000.00,9375000.00,10125000.00,Completed
Nasr city-Tunnel,NCT-A-EXC-1060,31-May-26,1.00,1.00,9750000.00,9750000.00,10042500.00,Completed
Nasr city-Tunnel,NCT-A-PC-1070,31-May-26,1.00,1.00,10875000.00,10875000.00,11473125.00,Completed
Nasr city-Tunnel,NCT-A-RFT-1080,31-May-26,1.00,1.00,12000000.00,12000000.00,12960000.00,Completed
Nasr city-Tunnel,NCT-A-CON-1090,31-May-26,1.00,1.00,12375000.00,12375000.00,12746250.00,Completed
Nasr city-Tunnel,NCT-B-EXC-1100,31-May-26,1.00,1.00,13500000.00,13500000.00,14242500.00,Completed
Nasr city-Tunnel,NCT-B-PC-1110,31-May-26,1.00,1.00,14625000.00,14625000.00,15795000.00,Completed
Nasr city-Tunnel,NCT-B-RFT-1120,31-May-26,1.00,1.00,15000000.00,15000000.00,15450000.00,Completed
Nasr city-Tunnel,NCT-B-CON-1130,31-May-26,1.00,1.00,16125000.00,16125000.00,17011875.00,Completed
Nasr city-Tunnel,NCT-UTL-1140,31-May-26,1.00,1.00,17250000.00,17250000.00,18630000.00,Completed
Nasr city-Tunnel,NCT-STR-1150,31-May-26,1.00,0.89,17625000.00,15737166.67,16209281.67,In progress under recovery sequence
Nasr city-Tunnel,NCT-MS-1160,31-May-26,1.00,0.92,18750000.00,17250000.00,18198750.00,In progress under recovery sequence
