project_id,months,monthly_planned,cumm_monthly_planned,monthly_actual,cumm_monthly_actual,monthly_invoiced,cumm_monthly_invoiced
Nasr city-Tunnel,1-Jan-26,30000000.00,30000000.00,24450000.00,24450000.00,0.00,0.00
Nasr city-Tunnel,1-Feb-26,52000000.00,82000000.00,41600000.00,66050000.00,0.00,0.00
Nasr city-Tunnel,1-Mar-26,76000000.00,158000000.00,59432000.00,125482000.00,41200000.00,41200000.00
Nasr city-Tunnel,1-Apr-26,94000000.00,252000000.00,74260000.00,199742000.00,57600000.00,98800000.00
Nasr city-Tunnel,1-May-26,116000000.00,368000000.00,88740000.00,288482000.00,69100000.00,167900000.00
Nasr city-Tunnel,1-Jun-26,138000000.00,506000000.00,105570000.00,394052000.00,82600000.00,250500000.00
Nasr city-Tunnel,1-Jul-26,151000000.00,657000000.00,100408000.00,494460000.00,75400000.00,325900000.00
Nasr city-Tunnel,1-Aug-26,164000000.00,821000000.00,0.00,494460000.00,0.00,325900000.00
Nasr city-Tunnel,1-Sep-26,173000000.00,994000000.00,0.00,494460000.00,0.00,325900000.00
Nasr city-Tunnel,1-Oct-26,181000000.00,1175000000.00,0.00,494460000.00,0.00,325900000.00
