project_id,wbs_code,wbs_name,total_activities,bl_project_duration,remaining_duration,total_float,bl_project_start,bl_project_finish,actual_start,actual_finish,schedule_%_complete,performance_%_complete,budget_at_completion,earned_value_cost,planned_value_cost
Nasr city-Tunnel,No Priority,,1460,900,706,0,12-Jan-26,30-Jun-28,15-Jan-26,,0.315,0.268,1845000000,494460000,581175000
Nasr city-Tunnel,Nasr city-Tunnel,Nasr city-Tunnel,1460,900,706,-74,12-Jan-26,30-Jun-28,15-Jan-26,,0.315,0.268,1845000000,494460000,581175000
Nasr city-Tunnel,Nasr city-Tunnel.KD,Key Dates,10,900,706,-74,12-Jan-26,30-Jun-28,15-Jan-26,,0,0,0,0,0
Nasr city-Tunnel,Nasr city-Tunnel.KD.MI,Contractual Milestones,7,900,706,-74,12-Jan-26,30-Jun-28,15-Jan-26,,0,0,0,0,0
Nasr city-Tunnel,Nasr city-Tunnel.KD.MO,Mobilization and Site Establishment,18,30,0,6,12-Jan-26,11-Feb-26,15-Jan-26,16-Feb-26,1,1,32000000,32000000,32000000
Nasr city-Tunnel,Nasr city-Tunnel.EN,Engineering and Design Coordination,145,560,388,-18,20-Jan-26,2-Aug-27,25-Jan-26,,0.42,0.36,147600000,53136000,61992000
Nasr city-Tunnel,Nasr city-Tunnel.PR,Procurement and Free-Issue Materials,160,620,472,-39,1-Feb-26,13-Oct-27,3-Feb-26,,0.38,0.29,221400000,64206000,84132000
Nasr city-Tunnel,Nasr city-Tunnel.CON,Construction Works,930,760,610,-74,12-Feb-26,12-Mar-28,20-Feb-26,,0.29,0.24,1180800000,283392000,342432000
Nasr city-Tunnel,Nasr city-Tunnel.CON.DEP,Depot Civil and Structural Works,315,540,396,-52,12-Feb-26,6-Aug-27,20-Feb-26,,0.46,0.40,442800000,177120000,203688000
Nasr city-Tunnel,Nasr city-Tunnel.CON.VIA,Viaduct and Elevated Structures,360,630,540,-74,16-Jul-26,6-Apr-28,9-Aug-26,,0.18,0.14,516600000,72324000,92988000
Nasr city-Tunnel,Nasr city-Tunnel.CON.UTL,Utilities Diversion and External Works,165,410,321,-31,5-Mar-26,19-Apr-27,12-Mar-26,,0.36,0.30,147600000,44280000,53136000
Nasr city-Tunnel,Nasr city-Tunnel.MEP,MEP and Depot Systems,250,520,520,-41,10-Oct-26,13-Mar-28,,,0.08,0.04,184500000,7380000,14760000
Nasr city-Tunnel,Nasr city-Tunnel.SYS,Rail Systems and Integration,190,430,430,-48,1-Feb-27,5-Apr-28,,,0.03,0.01,129150000,1291500,3874500
Nasr city-Tunnel,Nasr city-Tunnel.TST,Testing and Commissioning,85,150,150,-74,7-Feb-28,6-Jul-28,,,0,0,55350000,0,0
Nasr city-Tunnel,Nasr city-Tunnel.HO,"Handover, Training and Closeout",55,85,85,-74,7-Apr-28,30-Jun-28,,,0,0,36900000,0,0
Nasr city-Tunnel,Nasr city-Tunnel.MGT,Project Management and Controls,117,900,706,-74,12-Jan-26,30-Jun-28,15-Jan-26,,0.315,0.268,73800000,19778400,23247000
