project_id,Activity ID,Activity Name,Predecessors,Predecessor Details,Successors
Nasr city-Tunnel,NCT-ST-CLB--1100FRM-1090,Formwork readiness before Raft reinforcement for Chlorination Building,NCT-MOB-1010,NCT-MOB-1010: FS 0,NCT-ST-CLB-RFT-1100
Nasr city-Tunnel,NCT-ST-CLB-RFT-1100,Raft reinforcement for Chlorination Building,NCT-ST-CLB--1100FRM-1090,NCT-ST-CLB--1100FRM-1090: FS 0,NCT-ST-CLB--1100CONC-1110
Nasr city-Tunnel,NCT-ST-CLB--1100CONC-1110,Concrete casting after Raft reinforcement for Chlorination Building,NCT-ST-CLB-RFT-1100,NCT-ST-CLB-RFT-1100: FS 0,NCT-ST-PMP-FRM-1200
Nasr city-Tunnel,NCT-ST-PMP--1200FRM-1190,Formwork readiness before Raft reinforcement for Main Pump Hall,NCT-ST-CLB-CONC-1100,NCT-ST-CLB-CONC-1100: FS 0,NCT-ST-PMP-RFT-1200
Nasr city-Tunnel,NCT-ST-PMP-RFT-1200,Raft reinforcement for Main Pump Hall,NCT-ST-PMP--1200FRM-1190,NCT-ST-PMP--1200FRM-1190: FS 0,NCT-ST-PMP--1200CONC-1210
Nasr city-Tunnel,NCT-ST-PMP--1200CONC-1210,Concrete casting after Raft reinforcement for Main Pump Hall,NCT-ST-PMP-RFT-1200,NCT-ST-PMP-RFT-1200: FS 0,NCT-ST-CLR-FRM-1300
Nasr city-Tunnel,NCT-ST-CLR--1300FRM-1290,Formwork readiness before Base slab reinforcement for Clarifier No. 1,NCT-ST-PMP-CONC-1200,NCT-ST-PMP-CONC-1200: FS 0,NCT-ST-CLR-RFT-1300
Nasr city-Tunnel,NCT-ST-CLR-RFT-1300,Base slab reinforcement for Clarifier No. 1,NCT-ST-CLR--1300FRM-1290,NCT-ST-CLR--1300FRM-1290: FS 0,NCT-ST-CLR--1300CONC-1310
Nasr city-Tunnel,NCT-ST-CLR--1300CONC-1310,Concrete casting after Base slab reinforcement for Clarifier No. 1,NCT-ST-CLR-RFT-1300,NCT-ST-CLR-RFT-1300: FS 0,NCT-ST-FLT-FRM-1400
Nasr city-Tunnel,NCT-ST-FLT--1400FRM-1390,Formwork readiness before Wall reinforcement for Filter Gallery,NCT-ST-CLR-CONC-1300,NCT-ST-CLR-CONC-1300: FS 0,NCT-ST-FLT-RFT-1400
Nasr city-Tunnel,NCT-ST-FLT-RFT-1400,Wall reinforcement for Filter Gallery,NCT-ST-FLT--1400FRM-1390,NCT-ST-FLT--1400FRM-1390: FS 0,NCT-ST-FLT--1400CONC-1410
Nasr city-Tunnel,NCT-ST-FLT--1400CONC-1410,Concrete casting after Wall reinforcement for Filter Gallery,NCT-ST-FLT-RFT-1400,NCT-ST-FLT-RFT-1400: FS 0,NCT-ST-RES-FRM-1500
Nasr city-Tunnel,NCT-ST-RES--1500FRM-1490,Formwork readiness before Wall reinforcement for Treated Water Reservoir,NCT-ST-FLT-CONC-1400,NCT-ST-FLT-CONC-1400: FS 0,NCT-ST-RES-RFT-1500
Nasr city-Tunnel,NCT-ST-RES-RFT-1500,Wall reinforcement for Treated Water Reservoir,NCT-ST-RES--1500FRM-1490,NCT-ST-RES--1500FRM-1490: FS 0,NCT-ST-RES--1500CONC-1510
Nasr city-Tunnel,NCT-ST-RES--1500CONC-1510,Concrete casting after Wall reinforcement for Treated Water Reservoir,NCT-ST-RES-RFT-1500,NCT-ST-RES-RFT-1500: FS 0,NCT-ST-ADM-FRM-1600
Nasr city-Tunnel,NCT-ST-ADM--1600FRM-1590,Formwork readiness before Foundation reinforcement for Administration Building,NCT-ST-RES-CONC-1500,NCT-ST-RES-CONC-1500: FS 0,NCT-ST-ADM-RFT-1600
Nasr city-Tunnel,NCT-ST-ADM-RFT-1600,Foundation reinforcement for Administration Building,NCT-ST-ADM--1600FRM-1590,NCT-ST-ADM--1600FRM-1590: FS 0,NCT-ST-ADM--1600CONC-1610
Nasr city-Tunnel,NCT-ST-ADM--1600CONC-1610,Concrete casting after Foundation reinforcement for Administration Building,NCT-ST-ADM-RFT-1600,NCT-ST-ADM-RFT-1600: FS 0,NCT-MS-1040
