Actual Duration,Activity ID,Activity Name,WBS,project_id,Original Duration,Remaining Duration,BL Project Start,BL Project Finish,Start,Finish,Free Float,Total Float,Variance - BL1 Nonlabor Units,Variance - BL Project Nonlabor Units,Actual Nonlabor Units,Remaining Nonlabor Units,Predecessors,Successors,Budgeted Nonlabor Units,Activity % Complete,Critical,Longest Path
0,NCT-MS-1000,Project Start Milestone,Nasr city-Tunnel.BL.MI,Nasr city-Tunnel,0,0,12-Jan-26,30-Sep-27,12-Jan-26 A,12-Jan-26 A,0,0,0,0,0,0,,"NCT-MOB-1010, NCT-ENG-1010",0,100%,Yes,Yes
18,NCT-MOB-1010,Mobilization and underground site establishment,Nasr city-Tunnel.BL.MOB,Nasr city-Tunnel,18,0,12-Jan-26,30-Sep-27,14-Jan-26 A,1-Feb-26 A,0,0,0,0,0,0,NCT-MS-1000,NCT-Z01-EXC-1110,0,100%,Yes,Yes
24,NCT-ENG-1010,Structural and MEP coordinated design submissions,Nasr city-Tunnel.BL.ENG,Nasr city-Tunnel,24,0,12-Jan-26,30-Sep-27,15-Jan-26 A,8-Feb-26 A,5,14,0,0,0,0,NCT-MS-1000,"NCT-PROC-1020, NCT-Z01-RFT-1120",0,100%,No,No
16,NCT-PROC-1020,Long-lead MEP equipment and embedded-item approvals,Nasr city-Tunnel.BL.PROC,Nasr city-Tunnel,30,14,12-Jan-26,30-Sep-27,9-Feb-26 A,11-Mar-26,3,10,0,0,0,0,NCT-ENG-1010,NCT-Z03-RFT-1320,0,53%,No,No
34,NCT-Z01-EXC-1110,North Concourse excavation and support,Nasr city-Tunnel.BL.CW.Z01,Nasr city-Tunnel,34,0,12-Jan-26,30-Sep-27,2-Feb-26 A,8-Mar-26 A,0,0,0,0,0,0,NCT-MOB-1010,NCT-Z01-RFT-1120,0,100%,Yes,Yes
16,NCT-Z01-RFT-1120,North Concourse raft reinforcement and embeds,Nasr city-Tunnel.BL.CW.Z01.STR,Nasr city-Tunnel,16,0,12-Jan-26,30-Sep-27,9-Mar-26 A,25-Mar-26 A,0,0,-0.0,-0.0,164,0,"NCT-Z01-EXC-1110, NCT-ENG-1010",NCT-Z01-CON-1130,164,100%,Yes,Yes
5,NCT-Z01-CON-1130,North Concourse raft concrete,Nasr city-Tunnel.BL.CW.Z01.STR,Nasr city-Tunnel,5,0,12-Jan-26,30-Sep-27,26-Mar-26 A,31-Mar-26 A,0,0,0,0,0,0,NCT-Z01-RFT-1120,NCT-Z02-EXC-1210,0,100%,Yes,Yes
25,NCT-Z02-EXC-1210,South Concourse excavation and support,Nasr city-Tunnel.BL.CW.Z02,Nasr city-Tunnel,38,13,12-Jan-26,30-Sep-27,1-Apr-26 A,9-May-26,0,-6,0,0,0,0,NCT-Z01-CON-1130,NCT-Z02-RFT-1220,0,66%,Yes,Yes
0,NCT-Z02-RFT-1220,South Concourse raft reinforcement and embeds,Nasr city-Tunnel.BL.CW.Z02.STR,Nasr city-Tunnel,18,18,12-Jan-26,30-Sep-27,10-May-26,28-May-26,0,-6,-15.0,-22.6,0,188,"NCT-Z02-EXC-1210, NCT-ENG-1010",NCT-Z02-CON-1230,188,0%,Yes,Yes
0,NCT-Z02-CON-1230,South Concourse raft concrete,Nasr city-Tunnel.BL.CW.Z02.STR,Nasr city-Tunnel,6,6,12-Jan-26,30-Sep-27,29-May-26,4-Jun-26,0,-6,0,0,0,0,NCT-Z02-RFT-1220,NCT-Z03-EXC-1310,0,0%,Yes,Yes
0,NCT-Z03-EXC-1310,Utility Tunnel excavation and temporary works,Nasr city-Tunnel.BL.CW.Z03,Nasr city-Tunnel,42,42,12-Jan-26,30-Sep-27,5-Jun-26,17-Jul-26,0,-6,0,0,0,0,NCT-Z02-CON-1230,NCT-Z03-RFT-1320,0,0%,Yes,Yes
0,NCT-Z03-RFT-1320,Utility Tunnel slab reinforcement and service sleeves,Nasr city-Tunnel.BL.CW.Z03.STR,Nasr city-Tunnel,15,15,12-Jan-26,30-Sep-27,18-Jul-26,2-Aug-26,0,-6,-11.4,-17.0,0,142,"NCT-Z03-EXC-1310, NCT-PROC-1020",NCT-Z03-CON-1330,142,0%,Yes,Yes
0,NCT-Z03-CON-1330,Utility Tunnel slab concrete,Nasr city-Tunnel.BL.CW.Z03.STR,Nasr city-Tunnel,5,5,12-Jan-26,30-Sep-27,3-Aug-26,8-Aug-26,0,-6,0,0,0,0,NCT-Z03-RFT-1320,NCT-Z04-EXC-1410,0,0%,Yes,Yes
0,NCT-Z04-EXC-1410,Platform Hall excavation and dewatering,Nasr city-Tunnel.BL.CW.Z04,Nasr city-Tunnel,55,55,12-Jan-26,30-Sep-27,9-Aug-26,3-Oct-26,0,-6,0,0,0,0,NCT-Z03-CON-1330,NCT-Z04-RFT-1420,0,0%,Yes,Yes
0,NCT-Z04-RFT-1420,Platform Hall raft reinforcement and embedded systems,Nasr city-Tunnel.BL.CW.Z04.STR,Nasr city-Tunnel,22,22,12-Jan-26,30-Sep-27,4-Oct-26,26-Oct-26,0,-6,-18.9,-28.3,0,236,"NCT-Z04-EXC-1410, NCT-ENG-1010",NCT-Z04-CON-1430,236,0%,Yes,Yes
0,NCT-Z04-CON-1430,Platform Hall raft concrete,Nasr city-Tunnel.BL.CW.Z04.STR,Nasr city-Tunnel,7,7,12-Jan-26,30-Sep-27,27-Oct-26,3-Nov-26,0,-6,0,0,0,0,NCT-Z04-RFT-1420,NCT-STR-1500,0,0%,Yes,Yes
0,NCT-STR-1500,Station superstructure and architectural shell,Nasr city-Tunnel.BL.CW.SUP,Nasr city-Tunnel,210,210,12-Jan-26,30-Sep-27,4-Nov-26,2-Jun-27,0,-6,0,0,0,0,NCT-Z04-CON-1430,NCT-MEP-1600,0,0%,Yes,Yes
0,NCT-MEP-1600,Permanent MEP systems installation and testing,Nasr city-Tunnel.BL.MEP,Nasr city-Tunnel,96,96,12-Jan-26,30-Sep-27,3-Jun-27,7-Sep-27,0,-6,0,0,0,0,NCT-STR-1500,NCT-MS-1900,0,0%,Yes,Yes
0,NCT-MS-1900,Project Completion Milestone,Nasr city-Tunnel.BL.MI,Nasr city-Tunnel,0,0,12-Jan-26,30-Sep-27,30-Sep-27,30-Sep-27,0,0,0,0,0,0,NCT-MEP-1600,,0,0%,Yes,Yes
