project_id,task_code,status_code,wbs_id,task_name,target_start_date,target_end_date
Nasr city-Tunnel,NCT-MS-1000,Completed,Nasr city-Tunnel.BL.MI,Project Start Milestone,12-Jan-26,
Nasr city-Tunnel,NCT-MOB-1010,Completed,Nasr city-Tunnel.BL.MOB,Mobilization and underground site establishment,14-Jan-26,1-Feb-26
Nasr city-Tunnel,NCT-ENG-1010,Completed,Nasr city-Tunnel.BL.ENG,Structural and MEP coordinated design submissions,15-Jan-26,8-Feb-26
Nasr city-Tunnel,NCT-PROC-1020,In Progress,Nasr city-Tunnel.BL.PROC,Long-lead MEP equipment and embedded-item approvals,9-Feb-26,11-Mar-26
Nasr city-Tunnel,NCT-Z01-EXC-1110,Completed,Nasr city-Tunnel.BL.CW.Z01,North Concourse excavation and support,2-Feb-26,8-Mar-26
Nasr city-Tunnel,NCT-Z01-RFT-1120,Completed,Nasr city-Tunnel.BL.CW.Z01.STR,North Concourse raft reinforcement and embeds,9-Mar-26,25-Mar-26
Nasr city-Tunnel,NCT-Z01-CON-1130,Completed,Nasr city-Tunnel.BL.CW.Z01.STR,North Concourse raft concrete,26-Mar-26,31-Mar-26
Nasr city-Tunnel,NCT-Z02-EXC-1210,In Progress,Nasr city-Tunnel.BL.CW.Z02,South Concourse excavation and support,1-Apr-26,9-May-26
Nasr city-Tunnel,NCT-Z02-RFT-1220,Not Started,Nasr city-Tunnel.BL.CW.Z02.STR,South Concourse raft reinforcement and embeds,10-May-26,28-May-26
Nasr city-Tunnel,NCT-Z02-CON-1230,Not Started,Nasr city-Tunnel.BL.CW.Z02.STR,South Concourse raft concrete,29-May-26,4-Jun-26
Nasr city-Tunnel,NCT-Z03-EXC-1310,Not Started,Nasr city-Tunnel.BL.CW.Z03,Utility Tunnel excavation and temporary works,5-Jun-26,17-Jul-26
Nasr city-Tunnel,NCT-Z03-RFT-1320,Not Started,Nasr city-Tunnel.BL.CW.Z03.STR,Utility Tunnel slab reinforcement and service sleeves,18-Jul-26,2-Aug-26
Nasr city-Tunnel,NCT-Z03-CON-1330,Not Started,Nasr city-Tunnel.BL.CW.Z03.STR,Utility Tunnel slab concrete,3-Aug-26,8-Aug-26
Nasr city-Tunnel,NCT-Z04-EXC-1410,Not Started,Nasr city-Tunnel.BL.CW.Z04,Platform Hall excavation and dewatering,9-Aug-26,3-Oct-26
Nasr city-Tunnel,NCT-Z04-RFT-1420,Not Started,Nasr city-Tunnel.BL.CW.Z04.STR,Platform Hall raft reinforcement and embedded systems,4-Oct-26,26-Oct-26
Nasr city-Tunnel,NCT-Z04-CON-1430,Not Started,Nasr city-Tunnel.BL.CW.Z04.STR,Platform Hall raft concrete,27-Oct-26,3-Nov-26
Nasr city-Tunnel,NCT-STR-1500,Not Started,Nasr city-Tunnel.BL.CW.SUP,Station superstructure and architectural shell,4-Nov-26,2-Jun-27
Nasr city-Tunnel,NCT-MEP-1600,Not Started,Nasr city-Tunnel.BL.MEP,Permanent MEP systems installation and testing,3-Jun-27,7-Sep-27
Nasr city-Tunnel,NCT-MS-1900,Not Started,Nasr city-Tunnel.BL.MI,Project Completion Milestone,30-Sep-27,
