project_id,MEP Activity ID,MEP Schedule Activity ID,Phase,Building / Zone,Activity Name,Original Duration,Start,Finish,Predecessor Activity ID(s),Predecessor Relationship Details,Successor Activity ID(s),Successor Relationship Details,Related Civil Activity ID,Related Civil Activity Name,Related Civil Start,Related Civil Finish,Civil Finish After MEP Insertion,Source Schedule Activity ID,Source Schedule Activity Name,Source WBS,Match Score,Date Basis,Insertion Note
Nasr city-Tunnel,MEP-NCT-001,MEP-SUB-001,Engineering,North Concourse,Submittal of Drainage sleeves shop drawings,18.0,15-Dec-25,2-Jan-26,,,MEP-APP-001,SS +12d; FF +10d,NCT-Z01-RFT-1120,North Concourse raft reinforcement and embeds,9-Mar-26,25-Mar-26,28-Mar-26,NCT-Z01-RFT-1120,North Concourse raft reinforcement and embeds,Nasr city-Tunnel.BL.CW.Z01.STR,108,Synthetic baseline logic and matched civil work-front dates,Submittal duration fixed at 18 days and aligned ahead of the civil work-front release.
Nasr city-Tunnel,MEP-NCT-001,MEP-APP-001,Engineering,North Concourse,Approval of Drainage sleeves shop drawings,10.0,27-Dec-25,6-Jan-26,MEP-SUB-001,SS +12d; FF +10d,MEP-PO-001,FS,NCT-Z01-RFT-1120,North Concourse raft reinforcement and embeds,9-Mar-26,25-Mar-26,28-Mar-26,NCT-Z01-RFT-1120,North Concourse raft reinforcement and embeds,Nasr city-Tunnel.BL.CW.Z01.STR,108,Synthetic baseline logic and matched civil work-front dates,Approval activity follows the coordinated design review workflow.
Nasr city-Tunnel,MEP-NCT-001,MEP-PO-001,Procurement,North Concourse,Procurement release for Drainage sleeves,7.0,7-Jan-26,14-Jan-26,MEP-APP-001,FS,MEP-INST-001,FS,NCT-Z01-RFT-1120,North Concourse raft reinforcement and embeds,9-Mar-26,25-Mar-26,28-Mar-26,NCT-Z01-RFT-1120,North Concourse raft reinforcement and embeds,Nasr city-Tunnel.BL.CW.Z01.STR,108,Synthetic baseline logic and matched civil work-front dates,Procurement release is inserted before site installation to protect civil interface logic.
Nasr city-Tunnel,MEP-NCT-001,MEP-INST-001,Construction,North Concourse,Installation and inspection of drainage sleeves within North Concourse raft,3.0,22-Mar-26,25-Mar-26,"MEP-PO-001, NCT-Z01-EXC-1110, NCT-ENG-1010",MEP-PO-001: FS; NCT-Z01-EXC-1110: FS; NCT-ENG-1010: FS,NCT-Z01-CON-1130,FS,NCT-Z01-RFT-1120,North Concourse raft reinforcement and embeds,9-Mar-26,25-Mar-26,28-Mar-26,NCT-Z01-RFT-1120,North Concourse raft reinforcement and embeds,Nasr city-Tunnel.BL.CW.Z01.STR,108,Synthetic baseline logic and matched civil work-front dates,Installation is inserted immediately before the related concrete successor.
Nasr city-Tunnel,MEP-NCT-002,MEP-SUB-002,Engineering,South Concourse,Submittal of Firefighting and domestic-water sleeves shop drawings,18.0,20-Jan-26,7-Feb-26,,,MEP-APP-002,SS +12d; FF +10d,NCT-Z02-RFT-1220,South Concourse raft reinforcement and embeds,10-May-26,28-May-26,1-Jun-26,NCT-Z02-RFT-1220,South Concourse raft reinforcement and embeds,Nasr city-Tunnel.BL.CW.Z02.STR,104,Synthetic baseline logic and matched civil work-front dates,Submittal duration fixed at 18 days and aligned ahead of the civil work-front release.
Nasr city-Tunnel,MEP-NCT-002,MEP-APP-002,Engineering,South Concourse,Approval of Firefighting and domestic-water sleeves shop drawings,10.0,1-Feb-26,11-Feb-26,MEP-SUB-002,SS +12d; FF +10d,MEP-PO-002,FS,NCT-Z02-RFT-1220,South Concourse raft reinforcement and embeds,10-May-26,28-May-26,1-Jun-26,NCT-Z02-RFT-1220,South Concourse raft reinforcement and embeds,Nasr city-Tunnel.BL.CW.Z02.STR,104,Synthetic baseline logic and matched civil work-front dates,Approval activity follows the coordinated design review workflow.
Nasr city-Tunnel,MEP-NCT-002,MEP-PO-002,Procurement,South Concourse,Procurement release for Firefighting and domestic-water sleeves,7.0,12-Feb-26,19-Feb-26,MEP-APP-002,FS,MEP-INST-002,FS,NCT-Z02-RFT-1220,South Concourse raft reinforcement and embeds,10-May-26,28-May-26,1-Jun-26,NCT-Z02-RFT-1220,South Concourse raft reinforcement and embeds,Nasr city-Tunnel.BL.CW.Z02.STR,104,Synthetic baseline logic and matched civil work-front dates,Procurement release is inserted before site installation to protect civil interface logic.
Nasr city-Tunnel,MEP-NCT-002,MEP-INST-002,Construction,South Concourse,Installation and inspection of firefighting and domestic-water sleeves,4.0,24-May-26,28-May-26,"MEP-PO-002, NCT-Z02-EXC-1210, NCT-ENG-1010",MEP-PO-002: FS; NCT-Z02-EXC-1210: FS; NCT-ENG-1010: FS,NCT-Z02-CON-1230,FS,NCT-Z02-RFT-1220,South Concourse raft reinforcement and embeds,10-May-26,28-May-26,1-Jun-26,NCT-Z02-RFT-1220,South Concourse raft reinforcement and embeds,Nasr city-Tunnel.BL.CW.Z02.STR,104,Synthetic baseline logic and matched civil work-front dates,Installation is inserted immediately before the related concrete successor.
Nasr city-Tunnel,MEP-NCT-003,MEP-SUB-003,Engineering,Utility Tunnel,Submittal of Medium-voltage cable conduits shop drawings,18.0,18-Mar-26,5-Apr-26,,,MEP-APP-003,SS +12d; FF +10d,NCT-Z03-RFT-1320,Utility Tunnel slab reinforcement and service sleeves,18-Jul-26,2-Aug-26,7-Aug-26,NCT-Z03-RFT-1320,Utility Tunnel slab reinforcement and service sleeves,Nasr city-Tunnel.BL.CW.Z03.STR,101,Synthetic baseline logic and matched civil work-front dates,Submittal duration fixed at 18 days and aligned ahead of the civil work-front release.
Nasr city-Tunnel,MEP-NCT-003,MEP-APP-003,Engineering,Utility Tunnel,Approval of Medium-voltage cable conduits shop drawings,10.0,30-Mar-26,9-Apr-26,MEP-SUB-003,SS +12d; FF +10d,MEP-PO-003,FS,NCT-Z03-RFT-1320,Utility Tunnel slab reinforcement and service sleeves,18-Jul-26,2-Aug-26,7-Aug-26,NCT-Z03-RFT-1320,Utility Tunnel slab reinforcement and service sleeves,Nasr city-Tunnel.BL.CW.Z03.STR,101,Synthetic baseline logic and matched civil work-front dates,Approval activity follows the coordinated design review workflow.
