source_table,source_path,row_order,project_id,wbs_id,activity_id,activity_name,planned_start,planned_finish,actual_start,actual_finish,forecast_start,forecast_finish,planned_weight,planned_progress,actual_progress,total_float_days,is_critical,responsible_party,Activity ID,Activity Name,WBS,Baseline Start,Baseline Finish,Start,Finish,Actual Start,Actual Finish,Remaining Duration,Total Float,Free Float,Critical,Longest Path,Predecessors,Successors,Remaining Units,Budgeted Units,Physical % Complete,schedule_version,wbs_code,activity_type,calendar_name,baseline_start,baseline_finish,remaining_duration_days,free_float_days,is_longest_path,physical_percent_complete,source_id,notes,master_project_id,master_activity_id,master_activity_row_order,master_evm_row_order,master_progress_row_order,activity__project_id,activity__wbs_id,activity__activity_id,activity__activity_name,activity__planned_start,activity__planned_finish,activity__actual_start,activity__actual_finish,activity__forecast_start,activity__forecast_finish,activity__planned_weight,activity__planned_progress,activity__actual_progress,activity__total_float_days,activity__is_critical,activity__responsible_party,evm__project_id,evm__activity_id,evm__activity_name,evm__period,evm__BAC,evm__AC,evm__EV,evm__PV,evm__CPI,evm__SPI,evm__CV,evm__SV,progress__project_id,progress__activity_id,progress__update_date,progress__planned_progress,progress__actual_progress,progress__planned_value,progress__earned_value,progress__actual_cost,progress__notes
activities,01-data/import_templates/activities.csv,1,Suez-Tunnel,Suez-Tunnel.MILESTONE,KD-MS-1000,Project Start Date,1-Sep-25,,1-Sep-25 A,1-Sep-25 A,1-Sep-25,,0.0120,1.00,1.00,5,No,Project Controls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,2,Suez-Tunnel,Suez-Tunnel.MILESTONE,KD-MS-1010,Contract Agreement,1-Sep-25,,1-Sep-25 A,1-Sep-25 A,1-Sep-25,,0.0120,1.00,1.00,6,No,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,3,Suez-Tunnel,Suez-Tunnel.MILESTONE,KD-MS-1020,IFC Drawing Package,6-Sep-25,,6-Sep-25 A,6-Sep-25 A,6-Sep-25,,0.0120,1.00,1.00,,Yes,Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,4,Suez-Tunnel,Suez-Tunnel.MOBILIZATION,KD-MOB-1000,Mobilization and temporary facilities,4-Sep-25,2-Oct-25,20-Sep-25 A,21-Oct-25 A,20-Sep-25,10-Oct-25,0.0241,1.00,1.00,8,No,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,5,Suez-Tunnel,Suez-Tunnel.SURVEY,SUR-ST-1010,Topographic survey and utility detection,19-Sep-25,11-Oct-25,8-Oct-25 A,2-Nov-25 A,8-Oct-25,19-Oct-25,0.0241,1.00,1.00,9,No,Survey Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,6,Suez-Tunnel,Suez-Tunnel.ENGINEERING,E-SUB-ST-1020,Tunnel alignment shop drawings,6-Oct-25,10-Nov-25,28-Oct-25 A,,28-Oct-25,30-Nov-25,0.0361,1.00,0.83,-26,Yes,Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,7,Suez-Tunnel,Suez-Tunnel.ENGINEERING,E-APP-ST-1020,Approval of tunnel alignment shop drawings,12-Nov-25,7-Dec-25,28-Nov-25 A,,28-Nov-25,27-Dec-25,0.0361,0.80,0.66,-28,Yes,Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,8,Suez-Tunnel,Suez-Tunnel.PROCUREMENT,P-MDEL-ST-1000,Delivery of waterproofing membrane and steel,2-Nov-25,27-Dec-25,21-Nov-25 A,,21-Nov-25,16-Jan-26,0.0602,0.72,0.60,-30,Yes,Employer/Procurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,9,Suez-Tunnel,Suez-Tunnel.CONSTRUCTION,CON-ST-EXC-1010,Open cut excavation and shoring,29-Oct-25,27-Jan-26,20-Nov-25 A,,20-Nov-25,16-Feb-26,0.1205,0.82,0.68,-32,Yes,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activities,01-data/import_templates/activities.csv,10,Suez-Tunnel,Suez-Tunnel.CONSTRUCTION,CON-ST-RFT-1020,RFT for base slab reinforcement,28-Dec-25,25-Jan-26,13-Jan-26 A,,13-Jan-26,14-Feb-26,0.1205,0.60,0.50,-34,Yes,Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
