bundle_version,source_scope,source_file,row_kind,row_order,payload_json
2026-08-15.lossless-project-input-bundle.v1,data/milestones.csv,01-data/import_templates/milestones.csv,schema,0,"{""headers"":[""milestone_id"",""project_id"",""activity_name"",""planned_date"",""forecast_date"",""actual_date"",""milestone_contractual_type""],""source_sha256"":""4b071a9ae1e1719f488cd5eac458aec6a20c27c4a5f4b2a47b219a2f71708af2""}"
2026-08-15.lossless-project-input-bundle.v1,data/milestones.csv,01-data/import_templates/milestones.csv,data,1,"[""KD-MS-1000"",""Suez-Tunnel"",""Project Start Date"",""1-Sep-25"",""1-Sep-25"",""1-Sep-25"",""Start milestone""]"
2026-08-15.lossless-project-input-bundle.v1,data/milestones.csv,01-data/import_templates/milestones.csv,data,2,"[""KD-MS-1010"",""Suez-Tunnel"",""Contract Agreement"",""1-Sep-25"",""1-Sep-25"",""1-Sep-25"",""Start milestone""]"
2026-08-15.lossless-project-input-bundle.v1,data/milestones.csv,01-data/import_templates/milestones.csv,data,3,"[""KD-MS-1020"",""Suez-Tunnel"",""IFC Drawing Package"",""8-Sep-25"",""24-Sep-25"",""8-Sep-25"",""Key milestone""]"
2026-08-15.lossless-project-input-bundle.v1,data/milestones.csv,01-data/import_templates/milestones.csv,data,4,"[""KD-MS-5000"",""Suez-Tunnel"",""Structural Works Completion"",""1-Sep-26"",""19-Oct-26"","""",""Interim milestone""]"
2026-08-15.lossless-project-input-bundle.v1,data/milestones.csv,01-data/import_templates/milestones.csv,data,5,"[""KD-MS-9000"",""Suez-Tunnel"",""Substantial Completion"",""28-Feb-27"",""18-May-27"","""",""Finish milestone""]"
2026-08-15.lossless-project-input-bundle.v1,data/s_curve.csv,01-data/import_templates/s_curve.csv,schema,0,"{""headers"":[""project_id"",""months"",""monthly_planned"",""cumm_monthly_planned"",""monthly_actual"",""cumm_monthly_actual"",""monthly_invoiced"",""cumm_monthly_invoiced""],""source_sha256"":""042255b4a632751a2b0faba1247564cd62497debaee4f91b3ea0d05fa11049b3""}"
2026-08-15.lossless-project-input-bundle.v1,data/s_curve.csv,01-data/import_templates/s_curve.csv,data,1,"[""Suez-Tunnel"",""1-Sep-25"",""25000000.00"",""25000000.00"",""17637500.00"",""17637500.00"",""0.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/s_curve.csv,01-data/import_templates/s_curve.csv,data,2,"[""Suez-Tunnel"",""1-Oct-25"",""50000000.00"",""75000000.00"",""36520000.00"",""54157500.00"",""0.00"",""0.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/s_curve.csv,01-data/import_templates/s_curve.csv,data,3,"[""Suez-Tunnel"",""1-Nov-25"",""87500000.00"",""162500000.00"",""66088750.00"",""120246250.00"",""51549225.00"",""51549225.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/s_curve.csv,01-data/import_templates/s_curve.csv,data,4,"[""Suez-Tunnel"",""1-Dec-25"",""125000000.00"",""287500000.00"",""97525000.00"",""217771250.00"",""76069500.00"",""127618725.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/s_curve.csv,01-data/import_templates/s_curve.csv,data,5,"[""Suez-Tunnel"",""1-Jan-26"",""150000000.00"",""437500000.00"",""120765000.00"",""338536250.00"",""94196700.00"",""221815425.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/s_curve.csv,01-data/import_templates/s_curve.csv,data,6,"[""Suez-Tunnel"",""1-Feb-26"",""175000000.00"",""612500000.00"",""145250000.00"",""483786250.00"",""113295000.00"",""335110425.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/s_curve.csv,01-data/import_templates/s_curve.csv,data,7,"[""Suez-Tunnel"",""1-Mar-26"",""162500000.00"",""775000000.00"",""138921250.00"",""622707500.00"",""108358575.00"",""443469000.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/s_curve.csv,01-data/import_templates/s_curve.csv,data,8,"[""Suez-Tunnel"",""1-Apr-26"",""150000000.00"",""925000000.00"",""131970000.00"",""754677500.00"",""102936600.00"",""546405600.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/s_curve.csv,01-data/import_templates/s_curve.csv,data,9,"[""Suez-Tunnel"",""1-May-26"",""125000000.00"",""1050000000.00"",""88562500.00"",""843240000.00"",""69078750.00"",""615484350.00""]"
2026-08-15.lossless-project-input-bundle.v1,data/s_curve.csv,01-data/import_templates/s_curve.csv,data,10,"[""Suez-Tunnel"",""1-Jun-26"",""100000000.00"",""1150000000.00"",""72800000.00"",""916040000.00"",""56784000.00"",""672268350.00""]"
