source_table,source_path,row_order,project_id,claim_id,contract_id,claim_event_ref,claim_title,notice_date,particulars_due,claimed_amount,claimed_days,status,entitlement_basis,responsibility,payment,contract,project,invoice no,invoice date,certified amount,paid amount,payment status,Contractual interest due,Date of Cash Cheque Receipt,Period for payment release,Period in which interest is applied,Amount of interest claimed (EGP),delayed duration(Days) ,Unnamed: 14,Unnamed: 15,Unnamed: 16,period_date,planned_cash_out,planned_cumulative_cash_out,currency,basis,source_file,source_sheet,source_row,notes,Unnamed: 17,Unnamed: 18
claims,01-data/import_templates/claims.csv,1,Suez-Tunnel,CL-001,ST-PH-01,DE-001,Employer free issue steel delay,28-Dec-25,8-Feb-26,11250000,41,submitted,Employer material supply obligation,client,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claims,01-data/import_templates/claims.csv,2,Suez-Tunnel,CL-002,ST-PH-01,DE-002,Late IFC and RFI response impact,24-Jan-26,7-Mar-26,7500000,30,draft,Late information / engineer instruction,engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
payments,01-data/import_templates/payments.csv,1,Suez-Tunnel,,,,,,,,,,,,1.0,ST-PH-01,Suez-Tunnel,1.0,15-Dec-25,58750000.00,58750000.00,Paid,45.0,3-Feb-26,50.0,5.0,35250.0000,5.0,,,,,,,,,,,,,,
payments,01-data/import_templates/payments.csv,2,Suez-Tunnel,,,,,,,,,,,,2.0,ST-PH-01,Suez-Tunnel,2.0,14-Jan-26,73750000.00,73750000.00,Paid,45.0,10-Mar-26,55.0,10.0,88500.0000,10.0,,,,,,,,,,,,,,
payments,01-data/import_templates/payments.csv,3,Suez-Tunnel,,,,,,,,,,,,3.0,ST-PH-01,Suez-Tunnel,3.0,13-Feb-26,88750000.00,88750000.00,Paid,45.0,14-Apr-26,60.0,15.0,159750.0000,15.0,,,,,,,,,,,,,,
payments,01-data/import_templates/payments.csv,4,Suez-Tunnel,,,,,,,,,,,,4.0,ST-PH-01,Suez-Tunnel,4.0,15-Mar-26,103750000.00,103750000.00,Paid,45.0,19-May-26,65.0,20.0,249000.0000,20.0,,,,,,,,,,,,,,
payments,01-data/import_templates/payments.csv,5,Suez-Tunnel,,,,,,,,,,,,5.0,ST-PH-01,Suez-Tunnel,5.0,14-Apr-26,118750000.00,73625000.00,Partially Paid,45.0,23-Jun-26,70.0,25.0,356250.0000,25.0,,,,,,,,,,,,,,
payments,01-data/import_templates/payments.csv,6,Suez-Tunnel,,,,,,,,,,,,6.0,ST-PH-01,Suez-Tunnel,6.0,14-May-26,133750000.00,82925000.00,Certified,45.0,,,0.0,0.0000,,,,,,,,,,,,,,,
08-payments,02-delay_analysis/unified_tia_csv/08-payments.csv,1,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,1.0,ST-01,Suez-Tunnel-P.01-UP-26-Jun-26,1.0,5-Dec-25,21865323.0,21865323.0,Paid,45.0,13-Feb-26,70.0,25.0,65595.97,25.0,,,,,,,,,,,,,,
08-payments,02-delay_analysis/unified_tia_csv/08-payments.csv,2,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,2.0,ST-01,Suez-Tunnel-P.01-UP-26-Jun-26,2.0,2-Jan-26,25003410.0,25003410.0,Paid,45.0,13-Mar-26,70.0,25.0,75010.23,25.0,,,,,,,,,,,,,,
08-payments,02-delay_analysis/unified_tia_csv/08-payments.csv,3,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,3.0,ST-01,Suez-Tunnel-P.01-UP-26-Jun-26,3.0,30-Jan-26,26607915.0,26607915.0,Paid,45.0,17-Apr-26,77.0,32.0,102174.39,32.0,,,,,,,,,,,,,,
08-payments,02-delay_analysis/unified_tia_csv/08-payments.csv,4,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,4.0,ST-01,Suez-Tunnel-P.01-UP-26-Jun-26,4.0,27-Feb-26,30142118.0,30142118.0,Paid,45.0,15-May-26,77.0,32.0,115745.73,32.0,,,,,,,,,,,,,,
08-payments,02-delay_analysis/unified_tia_csv/08-payments.csv,5,Suez-Tunnel-P.01-UP-26-Jun-26,,,,,,,,,,,,5.0,ST-01,Suez-Tunnel-P.01-UP-26-Jun-26,5.0,27-Mar-26,32442298.0,22060762.64,Partially Paid,45.0,29-May-26,63.0,18.0,70075.36,18.0,,,,,,,,,,,,,,
