"Name","File"
"MermaidDiagram","src\components\MermaidDiagram.tsx"
"AiChatPanel","src\components\ai\AiChatPanel.tsx"
"AiInsightCard","src\components\ai\AiInsightCard.tsx"
"TechnicalKnowledgeAdvisor","src\components\ai\TechnicalKnowledgeAdvisor.tsx"
"ActionTracker","src\components\executive\ActionTracker.tsx"
"AdvancedAnalyticsPanel","src\components\executive\AdvancedAnalyticsPanel.tsx"
"ExecutiveLightModeToggle","src\components\executive\ExecutiveLightModeToggle.tsx"
"ManagementDecisionBrief","src\components\executive\ManagementDecisionBrief.tsx"
"PredictiveWarningPanel","src\components\executive\PredictiveWarningPanel.tsx"
"ScenarioPlanner","src\components\executive\ScenarioPlanner.tsx"
"SourceConfidenceBadge","src\components\executive\SourceConfidenceBadge.tsx"
"UnifiedIntelligenceSearch","src\components\executive\UnifiedIntelligenceSearch.tsx"
