"RelativePath","Extension","SizeKB","LastModified"
".env.example",".example","0.2","2026-07-27 22:22:50"
".env.local",".local","1.25","2026-07-28 15:06:20"
".gitignore",".gitignore","0.05","2026-07-27 14:37:14"
"eslint.config.mjs",".mjs","0.35","2026-07-30 23:32:21"
"figma-option-a.png",".png","124.21","2026-07-27 15:16:07"
"figma-option-b.png",".png","139.38","2026-07-27 15:16:07"
"figma-option-c.png",".png","199.13","2026-07-27 15:28:16"
"next-dev-3001.log",".log","50.71","2026-07-31 03:34:45"
"next-env.d.ts",".ts","0.24","2026-07-30 22:14:10"
"next.config.js",".js","0.21","2026-07-30 22:12:17"
"package-lock.json",".json","252.93","2026-07-28 00:35:09"
"package.json",".json","0.69","2026-07-30 23:32:21"
"README.md",".md","1.57","2026-07-27 13:31:30"
"tsconfig.json",".json","0.63","2026-07-27 13:34:58"
"vercel.json",".json","0.12","2026-07-27 14:33:27"
"public\assets\logo.png",".png","7.49","2026-05-15 02:07:14"
"public\data\portfolio.json",".json","736.59","2026-07-31 03:34:44"
"public\data\technical_question_bank.json",".json","1630.16","2026-07-27 23:17:43"
"public\data\analytics\lmd-bridge-s-curve-analytics.png",".png","69.65","2026-07-31 03:34:42"
"public\data\analytics\sophia-mall-s-curve-analytics.png",".png","62.62","2026-07-31 03:34:42"
"public\data\analytics\suez-tunnel-s-curve-analytics.png",".png","68.77","2026-07-31 03:34:44"
"public\data\analytics\the-big-p-01-up-20-april-26-s-curve-analytics.png",".png","67","2026-07-31 03:34:44"
"public\data\projects\lmd-bridge.json",".json","155.64","2026-07-31 03:34:44"
"public\data\projects\sophia-mall.json",".json","154.58","2026-07-31 03:34:44"
"public\data\projects\suez-tunnel.json",".json","155.83","2026-07-31 03:34:44"
"public\data\projects\the-big-p-01-up-20-april-26.json",".json","196.34","2026-07-31 03:34:44"
"public\generated\LMD-Bridgs\01_executive_dashboard.html",".html","17.86","2026-07-20 15:45:06"
"public\generated\LMD-Bridgs\02_master_dashboard.html",".html","84.56","2026-07-20 15:45:06"
"public\generated\LMD-Bridgs\03_elite_svg_charts.html",".html","50.77","2026-07-20 15:45:06"
"public\generated\LMD-Bridgs\04_linked_executive_dashboard.html",".html","56.24","2026-07-20 15:45:06"
"public\generated\Sophia-Mall\01_executive_dashboard.html",".html","17.87","2026-07-20 15:45:13"
"public\generated\Sophia-Mall\02_master_dashboard.html",".html","84.71","2026-07-20 15:45:13"
