"Type","Router","Route","Methods","File"
"API","App Router","/api/analyze-contract","POST","src\app\api\analyze-contract\route.ts"
"API","App Router","/api/analyze-delay","POST","src\app\api\analyze-delay\route.ts"
"API","App Router","/api/analyze-letters","POST","src\app\api\analyze-letters\route.ts"
"API","App Router","/api/ask-ai","POST","src\app\api\ask-ai\route.ts"
"API","App Router","/api/health/ai","GET","src\app\api\health\ai\route.ts"
"API","App Router","/api/intelligence/search","POST","src\app\api\intelligence\search\route.ts"
"API","App Router","/api/summarize-project","POST","src\app\api\summarize-project\route.ts"
"API","App Router","/api/technical-knowledge/ask","POST","src\app\api\technical-knowledge\ask\route.ts"
"Page","App Router","/../app","","src\app\page.tsx"
"Page","App Router","/project/:projectKey","","src\app\project\[projectKey]\page.tsx"
